;0
1;332.8
2;318.0
3;0.9915
4;262.5
5;1750.0
6;175.0
7;250.0
8;54.6
9;152.6
10;247.6
11;0.0
12;217.8
13;
14;400.0
15;0.0
16;671.2
17;47.9
18;616.7
19;6.7
20;
21;1800.0
22;0.1
23;1805.1
24;149.0
25;12.6
26;693.8
27;949.2
28;0.6
29;
30;Kein Stromspeicher installiert.
31;Kein Stromspeicher installiert.
32;115.07888949250633
33;0.050222839167363496
34;
35;2.8
36;311.4
37;3.6
38;0.2
39;
40;49.9
41;15.5
42;12.9
43;0.4
44;4.5
45;16.4
46;0.0
47;0.3
48;282.9
49;46.7
50;233.3
51;2.7
52;0.2
53;
54;0.9833692582616357
555;0.9996655974392576
