,BHKW_el,Strombedarf,Waermepumpe_el,PV,Strombezug,Stromueberschuss
2019-01-01 00:00:00,55.468841,-22.68,-32.788841,0.0,0.0,-0.0
2019-01-01 01:00:00,73.537946,-20.04,-53.497946,0.0,0.0,-0.0
2019-01-01 02:00:00,70.199005,-17.919999999999998,-52.279005,0.0,0.0,-0.0
2019-01-01 03:00:00,67.796541,-16.119999999999997,-51.676541,0.0,0.0,-0.0
2019-01-01 04:00:00,67.628714,-15.440000000000001,-52.188714,0.0,0.0,-0.0
2019-01-01 05:00:00,71.111351,-14.999999999999998,-56.111351,0.0,0.0,-0.0
2019-01-01 06:00:00,72.845578,-14.999999999999998,-57.845578,0.0,0.0,-0.0
2019-01-01 07:00:00,79.397016,-17.24,-62.157016,0.0,0.0,-0.0
2019-01-01 08:00:00,84.406078,-18.64,-66.400387,0.63430921,0.0,-0.0
2019-01-01 09:00:00,74.152242,-21.8,-64.744785,12.392543,0.0,-0.0
2019-01-01 10:00:00,67.406276,-25.92,-61.264521,19.778244,0.0,-0.0
2019-01-01 11:00:00,82.999509,-30.279999999999998,-64.382733,11.663224,0.0,-0.0
2019-01-01 12:00:00,78.716332,-32.760000000000005,-61.928921,15.97259,0.0,-0.0
2019-01-01 13:00:00,79.085731,-31.120000000000005,-62.811661,14.84593,0.0,-0.0
2019-01-01 14:00:00,86.593846,-29.76,-64.979203,8.1453574,0.0,-0.0
2019-01-01 15:00:00,97.974584,-30.52,-67.98148,0.52689556,0.0,-0.0
2019-01-01 16:00:00,104.7293,-34.0,-70.7293,0.0,0.0,-0.0
2019-01-01 17:00:00,111.0017,-40.272400000000005,-70.7293,0.0,0.0,-0.0
2019-01-01 18:00:00,107.82547,-39.68,-68.14547,0.0,0.0,-0.0
2019-01-01 19:00:00,106.53764,-37.519999999999996,-69.017643,0.0,0.0,-0.0
2019-01-01 20:00:00,102.29981,-31.919999999999995,-70.379805,0.0,0.0,-0.0
2019-01-01 21:00:00,95.820411,-28.399999999999995,-67.420411,0.0,0.0,-0.0
2019-01-01 22:00:00,93.315416,-36.0904,-57.225016,0.0,0.0,-0.0
2019-01-01 23:00:00,86.159524,-30.759999999999998,-55.399524,0.0,0.0,-0.0
2019-01-02 00:00:00,88.963978,-24.840000000000003,-64.123978,0.0,0.0,-0.0
2019-01-02 01:00:00,76.604065,-21.8,-54.804065,0.0,0.0,-0.0
2019-01-02 02:00:00,75.525838,-20.3752,-55.150638,0.0,0.0,-0.0
2019-01-02 03:00:00,75.497859,-19.880000000000003,-55.617859,0.0,0.0,-0.0
2019-01-02 04:00:00,79.046011,-21.360000000000003,-57.686011,0.0,0.0,-0.0
2019-01-02 05:00:00,86.084065,-25.16,-60.924065,0.0,0.0,-0.0
2019-01-02 06:00:00,97.909059,-31.16,-66.749059,0.0,0.0,-0.0
2019-01-02 07:00:00,104.29609,-39.599999999999994,-64.696086,0.0,0.0,-0.0
2019-01-02 08:00:00,109.42968,-47.04,-62.494555,0.10487048,0.0,-0.0
2019-01-02 09:00:00,112.30349,-51.10959999999999,-61.92798,0.73409334,0.0,-0.0
2019-01-02 10:00:00,113.36833,-54.4976,-60.653528,1.7827981,0.0,-0.0
2019-01-02 11:00:00,111.57086,-56.524800000000006,-58.431507,3.3854503,0.0,-0.0
2019-01-02 12:00:00,112.61965,-55.88640000000001,-61.959196,5.2259495,0.0,-0.0
2019-01-02 13:00:00,114.67569,-54.8972,-62.799516,3.0210228,0.0,-0.0
2019-01-02 14:00:00,102.70064,-53.041199999999996,-55.950234,6.2907941,0.0,-0.0
2019-01-02 15:00:00,107.85783,-52.029599999999995,-57.975604,2.1473773,0.0,-0.0
2019-01-02 16:00:00,112.35866,-54.3792,-57.979459,0.0,0.0,-0.0
2019-01-02 17:00:00,116.43304,-59.7632,-56.669838,0.0,0.0,-0.0
2019-01-02 18:00:00,115.80649,-59.394000000000005,-56.412486,0.0,0.0,-0.0
2019-01-02 19:00:00,112.18102,-54.6032,-57.577816,0.0,0.0,-0.0
2019-01-02 20:00:00,107.00056,-47.757600000000004,-59.242962,0.0,0.0,-0.0
2019-01-02 21:00:00,103.51779,-43.6136,-59.904195,0.0,0.0,-0.0
2019-01-02 22:00:00,96.355157,-40.1072,-56.247957,0.0,0.0,-0.0
2019-01-02 23:00:00,86.762638,-30.639999999999997,-56.122638,0.0,0.0,-0.0
2019-01-03 00:00:00,78.09613,-21.48,-56.61613,0.0,0.0,-0.0
2019-01-03 01:00:00,77.089946,-17.4,-59.689946,0.0,0.0,-0.0
2019-01-03 02:00:00,77.564324,-14.36,-63.204324,0.0,0.0,-0.0
2019-01-03 03:00:00,74.558746,-12.68,-61.878746,0.0,0.0,-0.0
2019-01-03 04:00:00,74.574832,-13.159999999999997,-61.414832,0.0,0.0,-0.0
2019-01-03 05:00:00,74.954551,-14.12,-60.834551,0.0,0.0,-0.0
2019-01-03 06:00:00,77.020497,-16.85,-60.170497,0.0,0.0,-0.0
2019-01-03 07:00:00,87.946292,-22.119999999999997,-65.826292,0.0,0.0,-0.0
2019-01-03 08:00:00,95.807429,-27.799999999999997,-68.426911,0.41948191,0.0,-0.0
2019-01-03 09:00:00,100.0264,-34.04,-67.664326,1.6779276,0.0,-0.0
2019-01-03 10:00:00,105.68267,-37.68,-70.7293,2.7266324,0.0,-0.0
2019-01-03 11:00:00,110.39121,-42.1788,-70.7293,2.5168914,0.0,-0.0
2019-01-03 12:00:00,111.5487,-43.3956,-70.669994,2.5168914,0.0,-0.0
2019-01-03 13:00:00,108.42824,-42.616800000000005,-68.642945,2.8315029,0.0,-0.0
2019-01-03 14:00:00,103.38143,-40.3216,-65.052367,1.9925391,0.0,-0.0
2019-01-03 15:00:00,105.58265,-39.28,-66.931869,0.62922286,0.0,-0.0
2019-01-03 16:00:00,108.85842,-42.878400000000006,-65.980022,0.0,0.0,-0.0
2019-01-03 17:00:00,114.38383,-48.3464,-66.037427,0.0,0.0,-0.0
2019-01-03 18:00:00,115.99516,-48.184,-67.811157,0.0,0.0,-0.0
2019-01-03 19:00:00,113.93349,-44.3852,-69.548287,0.0,0.0,-0.0
2019-01-03 20:00:00,107.8653,-37.136,-70.7293,0.0,0.0,-0.0
2019-01-03 21:00:00,99.408778,-33.6,-65.808778,0.0,0.0,-0.0
2019-01-03 22:00:00,95.365708,-32.8412,-62.524508,0.0,0.0,-0.0
2019-01-03 23:00:00,89.653665,-28.960000000000004,-60.693665,0.0,0.0,-0.0
2019-01-04 00:00:00,85.960692,-24.08,-61.880692,0.0,0.0,-0.0
2019-01-04 01:00:00,80.949622,-17.0,-63.949622,0.0,0.0,-0.0
2019-01-04 02:00:00,78.662876,-13.519999999999998,-65.142876,0.0,0.0,-0.0
2019-01-04 03:00:00,79.309588,-12.12,-67.189588,0.0,0.0,-0.0
2019-01-04 04:00:00,83.0893,-12.36,-70.7293,0.0,0.0,-0.0
2019-01-04 05:00:00,81.9693,-11.24,-70.7293,0.0,0.0,-0.0
2019-01-04 06:00:00,80.4493,-9.719999999999999,-70.7293,0.0,0.0,-0.0
2019-01-04 07:00:00,85.1881,-14.458799999999998,-70.7293,0.0,0.0,-0.0
2019-01-04 08:00:00,90.164947,-19.96,-70.7293,0.52435238,0.0,-0.0
2019-01-04 09:00:00,93.98442,-25.320000000000004,-70.7293,2.0648797,0.0,-0.0
2019-01-04 10:00:00,93.505131,-30.9408,-70.7293,8.1649684,0.0,-0.0
2019-01-04 11:00:00,101.37937,-37.760000000000005,-67.840235,4.220869,0.0,-0.0
2019-01-04 12:00:00,94.133947,-37.96,-61.929484,5.7555373,0.0,-0.0
2019-01-04 13:00:00,88.994321,-34.162800000000004,-59.988486,5.1569644,0.0,-0.0
2019-01-04 14:00:00,91.966801,-32.04,-61.394988,1.4681867,0.0,-0.0
2019-01-04 15:00:00,98.428205,-31.919999999999995,-67.032557,0.52435238,0.0,-0.0
2019-01-04 16:00:00,103.79579,-35.63999999999999,-68.15579,0.0,0.0,-0.0
2019-01-04 17:00:00,112.9229,-42.193599999999996,-70.7293,0.0,0.0,-0.0
2019-01-04 18:00:00,114.1209,-43.391600000000004,-70.7293,0.0,0.0,-0.0
2019-01-04 19:00:00,111.2029,-40.4736,-70.7293,0.0,0.0,-0.0
2019-01-04 20:00:00,106.26253,-36.239999999999995,-70.02253,0.0,0.0,-0.0
2019-01-04 21:00:00,100.60043,-33.8,-66.800432,0.0,0.0,-0.0
2019-01-04 22:00:00,97.3136,-34.04,-63.2736,0.0,0.0,-0.0
2019-01-04 23:00:00,89.246357,-28.88,-60.366357,0.0,0.0,-0.0
2019-01-05 00:00:00,84.251762,-22.28,-61.971762,0.0,0.0,-0.0
2019-01-05 01:00:00,81.557708,-18.72,-62.837708,0.0,0.0,-0.0
2019-01-05 02:00:00,76.198314,-16.680000000000003,-59.518314,0.0,0.0,-0.0
2019-01-05 03:00:00,76.45427,-16.56,-59.89427,0.0,0.0,-0.0
2019-01-05 04:00:00,78.405362,-18.68,-59.725362,0.0,0.0,-0.0
2019-01-05 05:00:00,89.131416,-25.520000000000003,-63.611416,0.0,0.0,-0.0
2019-01-05 06:00:00,97.486011,-36.56,-60.926011,0.0,0.0,-0.0
2019-01-05 07:00:00,111.45488,-47.2264,-64.228476,0.0,0.0,-0.0
2019-01-05 08:00:00,115.82196,-53.8516,-62.180104,0.20974095,0.0,-0.0
2019-01-05 09:00:00,119.30245,-56.295199999999994,-63.531606,0.52435238,0.0,-0.0
2019-01-05 10:00:00,119.58723,-57.724000000000004,-62.702189,0.83896381,0.0,-0.0
2019-01-05 11:00:00,118.83816,-59.422000000000004,-60.464866,1.0487048,0.0,-0.0
2019-01-05 12:00:00,119.23416,-59.74719999999999,-60.430798,0.94383429,0.0,-0.0
2019-01-05 13:00:00,119.12829,-58.55480000000001,-61.202712,0.62922286,0.0,-0.0
2019-01-05 14:00:00,116.87069,-57.00880000000001,-60.281376,0.41948191,0.0,-0.0
2019-01-05 15:00:00,113.63284,-55.802800000000005,-57.934911,0.10487048,0.0,-0.0
2019-01-05 16:00:00,121.63572,-57.012800000000006,-64.622919,0.0,0.0,-0.0
2019-01-05 17:00:00,126.63334,-63.6168,-63.016541,0.0,0.0,-0.0
2019-01-05 18:00:00,125.18067,-63.0724,-62.10827,0.0,0.0,-0.0
2019-01-05 19:00:00,120.86422,-60.11840000000001,-60.745816,0.0,0.0,-0.0
2019-01-05 20:00:00,115.04899,-52.434,-62.614995,0.0,0.0,-0.0
2019-01-05 21:00:00,109.51546,-47.414,-62.101459,0.0,0.0,-0.0
2019-01-05 22:00:00,101.41743,-44.9632,-56.454227,0.0,0.0,-0.0
2019-01-05 23:00:00,87.996108,-37.312,-50.684108,0.0,0.0,-0.0
2019-01-06 00:00:00,83.522162,-31.4,-52.122162,0.0,0.0,-0.0
2019-01-06 01:00:00,80.057168,-27.28,-52.777168,0.0,0.0,-0.0
2019-01-06 02:00:00,78.227157,-25.320000000000004,-52.907157,0.0,0.0,-0.0
2019-01-06 03:00:00,78.664735,-25.44,-53.224735,0.0,0.0,-0.0
2019-01-06 04:00:00,80.809341,-26.439999999999998,-54.369341,0.0,0.0,-0.0
2019-01-06 05:00:00,93.967395,-29.160000000000004,-64.807395,0.0,0.0,-0.0
2019-01-06 06:00:00,102.23771,-36.88,-65.357708,0.0,0.0,-0.0
2019-01-06 07:00:00,116.63053,-46.273199999999996,-70.35733,0.0,0.0,-0.0
2019-01-06 08:00:00,120.37407,-50.43959999999999,-70.24908,0.31461143,0.0,-0.0
2019-01-06 09:00:00,120.49094,-52.6484,-69.730212,1.8876686,0.0,-0.0
2019-01-06 10:00:00,119.70035,-55.418000000000006,-67.218721,2.9363734,0.0,-0.0
2019-01-06 11:00:00,119.04772,-57.306000000000004,-64.678094,2.9363734,0.0,-0.0
2019-01-06 12:00:00,119.32742,-56.821200000000005,-65.232855,2.7266324,0.0,-0.0
2019-01-06 13:00:00,119.62712,-55.185199999999995,-67.063684,2.6217619,0.0,-0.0
2019-01-06 14:00:00,117.75175,-52.769600000000004,-67.394175,2.412021,0.0,-0.0
2019-01-06 15:00:00,119.69009,-52.223600000000005,-67.990838,0.52435238,0.0,-0.0
2019-01-06 16:00:00,123.60636,-54.574799999999996,-69.031557,0.0,0.0,-0.0
2019-01-06 17:00:00,130.21436,-61.931599999999996,-68.282757,0.0,0.0,-0.0
2019-01-06 18:00:00,128.49501,-62.410000000000004,-66.085005,0.0,0.0,-0.0
2019-01-06 19:00:00,126.76458,-60.5816,-66.182984,0.0,0.0,-0.0
2019-01-06 20:00:00,115.18703,-53.9916,-61.195427,0.0,0.0,-0.0
2019-01-06 21:00:00,110.30383,-48.914,-61.389827,0.0,0.0,-0.0
2019-01-06 22:00:00,103.45163,-45.3596,-58.092032,0.0,0.0,-0.0
2019-01-06 23:00:00,94.457816,-37.599999999999994,-56.857816,0.0,0.0,-0.0
2019-01-07 00:00:00,86.068714,-30.639999999999997,-55.428714,0.0,0.0,-0.0
2019-01-07 01:00:00,82.890335,-26.439999999999998,-56.450335,0.0,0.0,-0.0
2019-01-07 02:00:00,81.363027,-24.88,-56.483027,0.0,0.0,-0.0
2019-01-07 03:00:00,81.318962,-25.28,-56.038962,0.0,0.0,-0.0
2019-01-07 04:00:00,87.551222,-26.639999999999997,-60.911222,0.0,0.0,-0.0
2019-01-07 05:00:00,96.419286,-32.4,-64.019286,0.0,0.0,-0.0
