,BHKW_el,Strombedarf,Waermepumpe_el,PV
2019-04-08 00:00:00,67.933276,-27.76,-40.173276,0.0
2019-04-08 01:00:00,65.830832,-25.44,-40.390832,0.0
2019-04-08 02:00:00,66.769211,-26.680000000000003,-40.089211,0.0
2019-04-08 03:00:00,72.943222,-28.88,-44.063222,0.0
2019-04-08 04:00:00,83.334011,-34.36000000000001,-48.974011,0.0
2019-04-08 05:00:00,92.440966,-46.072,-46.683578,0.31461143
2019-04-08 06:00:00,100.66567,-55.180400000000006,-46.324232,0.83896381
2019-04-08 07:00:00,107.43142,-61.2692,-48.888855,2.7266324
2019-04-08 08:00:00,104.98117,-63.8772,-44.984179,3.8802076
2019-04-08 09:00:00,99.801785,-66.01400000000001,-38.297215,4.5094305
2019-04-08 10:00:00,88.115316,-67.5632,-28.476089,7.9239728
2019-04-08 11:00:00,78.927514,-66.21839999999999,-24.407457,11.698343
2019-04-08 12:00:00,73.211258,-64.0816,-21.754454,12.624797
2019-04-08 13:00:00,69.893677,-60.611200000000004,-20.934821,11.652345
2019-04-08 14:00:00,72.313136,-58.352399999999996,-21.51141,7.5506743
2019-04-08 15:00:00,71.17532,-55.199999999999996,-23.138253,7.1629332
2019-04-08 16:00:00,76.736153,-54.106,-25.566527,2.9363734
2019-04-08 17:00:00,78.859452,-54.3992,-25.823568,1.3633162
2019-04-08 18:00:00,82.87463,-54.78040000000001,-28.306515,0.21228413
2019-04-08 19:00:00,82.23693,-55.8284,-26.40853,0.0
2019-04-08 20:00:00,80.7024,-51.9672,-28.7352,0.0
2019-04-08 21:00:00,76.008086,-45.763999999999996,-30.244086,0.0
2019-04-08 22:00:00,72.409038,-37.8,-34.609038,0.0
2019-04-08 23:00:00,66.280649,-30.16,-36.120649,0.0
2019-04-09 00:00:00,63.418768,-25.92,-37.498768,0.0
2019-04-09 01:00:00,56.355416,-23.919999999999998,-32.435416,0.0
2019-04-09 02:00:00,62.301449,-25.36,-36.941449,0.0
2019-04-09 03:00:00,66.713643,-28.439999999999998,-38.273643,0.0
2019-04-09 04:00:00,71.223914,-34.4,-36.823914,0.0
2019-04-09 05:00:00,84.332272,-43.8052,-40.946554,0.41948191
2019-04-09 06:00:00,89.138013,-53.90800000000001,-40.062497,4.8324845
2019-04-09 07:00:00,87.757222,-59.262,-36.400103,7.904881
2019-04-09 08:00:00,73.599165,-62.292399999999994,-31.448714,20.141949
2019-04-09 09:00:00,61.443511,-64.18599999999999,-26.420621,29.16311
2019-04-09 10:00:00,49.715274,-65.64999999999999,-18.81091,34.745636
2019-04-09 11:00:00,42.598607,-64.10199999999999,-15.702704,37.206097
2019-04-09 12:00:00,39.440259,-62.5484,-13.543701,36.651842
2019-04-09 13:00:00,38.402097,-59.6352,-12.661457,33.89456
2019-04-09 14:00:00,43.655249,-56.98480000000001,-14.273626,27.603178
2019-04-09 15:00:00,51.578352,-53.42399999999999,-17.844101,19.68975
2019-04-09 16:00:00,58.343002,-51.72880000000001,-18.004756,11.390554
2019-04-09 17:00:00,68.527017,-51.1504,-21.093836,3.7172187
2019-04-09 18:00:00,73.902408,-51.76919999999999,-22.660103,0.52689556
2019-04-09 19:00:00,78.598011,-53.312,-25.286011,0.0
2019-04-09 20:00:00,79.1232,-49.8804,-29.2428,0.0
2019-04-09 21:00:00,73.452541,-43.304,-30.148541,0.0
2019-04-09 22:00:00,66.821665,-35.0,-31.821665,0.0
2019-04-09 23:00:00,61.463827,-27.919999999999995,-33.543827,0.0
2019-04-10 00:00:00,58.601946,-23.680000000000003,-34.921946,0.0
2019-04-10 01:00:00,56.761038,-21.705599999999997,-35.055438,0.0
2019-04-10 02:00:00,58.622962,-22.7908,-35.832162,0.0
2019-04-10 03:00:00,65.409341,-25.799999999999997,-39.609341,0.0
2019-04-10 04:00:00,77.908497,-31.7744,-46.134097,0.0
2019-04-10 05:00:00,85.954471,-43.7932,-42.895364,0.73409334
2019-04-10 06:00:00,86.439186,-52.7,-38.849547,5.110361
2019-04-10 07:00:00,79.11401,-58.388,-33.487027,12.761018
2019-04-10 08:00:00,67.921895,-60.0268,-29.35349,21.458395
2019-04-10 09:00:00,53.972225,-62.73159999999999,-20.007054,28.766429
2019-04-10 10:00:00,45.405577,-63.9652,-15.639712,34.199336
2019-04-10 11:00:00,36.711663,-61.77719999999999,-11.388208,36.453745
2019-04-10 12:00:00,30.65753,-59.321999999999996,-7.327441,35.991911
2019-04-10 13:00:00,35.449648,-56.006,-10.813016,31.369368
2019-04-10 14:00:00,46.736621,-52.9704,-12.720452,18.954231
2019-04-10 15:00:00,45.727391,-50.02719999999999,-14.530341,18.83015
2019-04-10 16:00:00,57.377762,-49.636,-18.214442,10.47268
2019-04-10 17:00:00,66.719626,-49.208400000000005,-21.464741,3.9535155
2019-04-10 18:00:00,71.468678,-48.5532,-23.442373,0.52689556
2019-04-10 19:00:00,72.735524,-49.232,-23.503524,0.0
2019-04-10 20:00:00,72.163892,-45.268,-26.895892,0.0
2019-04-10 21:00:00,67.450811,-39.04,-28.410811,0.0
2019-04-10 22:00:00,61.487568,-31.16,-30.327568,0.0
2019-04-10 23:00:00,56.12973,-24.08,-32.04973,0.0
2019-04-11 00:00:00,50.886443,-20.360000000000003,-30.526443,0.0
2019-04-11 01:00:00,48.949146,-17.8,-31.149146,0.0
2019-04-11 02:00:00,48.9024,-17.28,-31.6224,0.0
2019-04-11 03:00:00,49.780238,-18.44,-31.340238,0.0
2019-04-11 04:00:00,55.66573,-19.799999999999997,-35.86573,0.0
2019-04-11 05:00:00,59.670898,-21.64,-38.872405,0.84150699
2019-04-11 06:00:00,62.678237,-27.039999999999996,-40.389201,4.7509644
2019-04-11 07:00:00,55.579043,-34.84,-34.100689,13.361646
2019-04-11 08:00:00,41.458715,-39.64,-25.658557,23.839842
2019-04-11 09:00:00,45.648873,-42.24080000000001,-23.752182,20.344109
2019-04-11 10:00:00,46.331864,-44.977199999999996,-21.213554,19.85889
2019-04-11 11:00:00,25.494848,-44.8844,-12.32804,31.717593
2019-04-11 12:00:00,25.211419,-42.9744,-10.715256,28.478237
2019-04-11 13:00:00,33.051964,-40.928399999999996,-12.334851,20.211287
2019-04-11 14:00:00,41.935319,-40.3116,-13.352572,11.728853
2019-04-11 15:00:00,45.944089,-39.68,-13.8832,7.6191111
2019-04-11 16:00:00,53.067033,-40.4568,-16.38557,3.7753372
2019-04-11 17:00:00,58.974006,-40.039199999999994,-21.268578,2.3337711
2019-04-11 18:00:00,71.620418,-41.42,-30.727314,0.52689556
2019-04-11 19:00:00,78.869665,-39.92,-38.949665,0.0
2019-04-11 20:00:00,75.603157,-36.519999999999996,-39.083157,0.0
