,Strombedarf,BHKW_el,PV,Strombezug,Waermepumpe_el
2019-08-05 00:00:00,-23.199999999999996,23.2,0.0,0.0,-0.0
2019-08-05 01:00:00,-21.240000000000002,28.705285,0.0,0.0,-7.4652848
2019-08-05 02:00:00,-21.1024,30.635978,0.0,0.0,-9.5335784
2019-08-05 03:00:00,-23.24,32.947546,0.0,0.0,-9.7075459
2019-08-05 04:00:00,-28.16,37.107837,0.42202508,0.0,-9.3698619
2019-08-05 05:00:00,-39.44,44.124023,2.4563181,0.0,-7.1403415
2019-08-05 06:00:00,-49.79240000000001,42.651496,8.9671512,0.0,-1.8262468
2019-08-05 07:00:00,-55.64040000000001,31.025539,15.741215,8.8736461,-0.0
2019-08-05 08:00:00,-57.780800000000006,2.1474773,24.636628,30.996694,-0.0
2019-08-05 09:00:00,-60.802800000000005,0.0,33.425967,27.376833,-0.0
2019-08-05 10:00:00,-64.50919999999999,0.0,38.205624,26.303576,-0.0
2019-08-05 11:00:00,-64.1656,0.0,40.391905,23.773695,-0.0
2019-08-05 12:00:00,-62.4896,0.0,38.836794,23.652806,-0.0
2019-08-05 13:00:00,-60.6512,0.0,34.684147,25.967053,-0.0
2019-08-05 14:00:00,-57.98919999999999,0.0,27.46876,30.52044,-0.0
2019-08-05 15:00:00,-54.406400000000005,0.0,22.86048,31.54592,-0.0
2019-08-05 16:00:00,-53.60640000000001,30.871599,13.252564,9.4822372,-0.0
2019-08-05 17:00:00,-52.75880000000001,46.597518,6.1612819,0.0,-0.0
2019-08-05 18:00:00,-50.5696,48.763913,1.8056867,0.0,-0.0
2019-08-05 19:00:00,-46.3076,46.097859,0.20974095,0.0,-0.0
2019-08-05 20:00:00,-45.134,45.134,0.0,0.0,-0.0
2019-08-05 21:00:00,-40.190400000000004,40.1904,0.0,0.0,-0.0
2019-08-05 22:00:00,-32.4,32.4,0.0,0.0,-0.0
2019-08-05 23:00:00,-27.433999999999997,27.434,0.0,0.0,-0.0
2019-08-06 00:00:00,-24.36,24.36,0.0,0.0,-0.0
2019-08-06 01:00:00,-22.880000000000003,28.898433,0.0,0.0,-6.0184328
2019-08-06 02:00:00,-22.400000000000002,32.658638,0.0,0.0,-10.258638
2019-08-06 03:00:00,-24.04,34.246486,0.0,0.0,-10.206486
2019-08-06 04:00:00,-29.2,37.847906,0.21228413,0.0,-8.8601903
2019-08-06 05:00:00,-40.209199999999996,44.821212,1.8903474,0.0,-6.5023589
2019-08-06 06:00:00,-50.302,41.007409,9.6590623,0.0,-0.36447115
2019-08-06 07:00:00,-56.269600000000004,19.220309,16.400363,20.648928,-0.0
2019-08-06 08:00:00,-59.298,0.0,26.39482,32.90318,-0.0
2019-08-06 09:00:00,-62.609199999999994,0.0,33.685349,28.923851,-0.0
