,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie,Waermespeicher_in,Waermespeicher_out,Gaskessel,Waermebezug,Waermeueberschuss
2019-01-01 00:00:00,-282.80699999999996,114.76094,62.402446,0.0,-0.0,105.64361,0.0,0.0,-0.0
2019-01-01 01:00:00,-269.973,187.24281,82.730189,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 02:00:00,-261.9504,182.97652,78.973881,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 03:00:00,-257.139,180.86789,76.271108,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 04:00:00,-258.74280000000005,182.6605,76.082303,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 05:00:00,-276.39,196.38973,80.00027,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 06:00:00,-284.4108,202.45952,81.951276,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 07:00:00,-306.87120000000004,217.54956,89.321643,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 08:00:00,-329.3316,232.40136,94.956838,1.9734064,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 09:00:00,-348.5826,226.60675,83.421272,38.55458,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 10:00:00,-351.7902,214.42582,75.832061,61.532316,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 11:00:00,-354.99960000000004,225.33957,93.374448,36.285585,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 12:00:00,-354.99960000000004,216.75123,88.555873,49.692502,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 13:00:00,-354.99960000000004,219.84081,88.971447,46.187339,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 14:00:00,-350.1864,227.42721,97.418077,25.341112,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 15:00:00,-346.977,237.93518,110.22141,1.6392306,-2.8188168,0.0,0.0,0.0,-0.0
2019-01-01 16:00:00,-366.2298,247.55255,117.82046,0.0,-0.0,0.85678922,0.0,0.0,-0.0
2019-01-01 17:00:00,-374.2506,247.55255,124.87691,0.0,-0.0,1.8211392,0.0,0.0,-0.0
2019-01-01 18:00:00,-359.8128,238.50915,121.30365,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 19:00:00,-361.4166,241.56175,119.85485,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 20:00:00,-361.4166,246.32932,115.08728,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 21:00:00,-343.76939999999996,235.97144,107.79796,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 22:00:00,-305.2674,200.28756,104.97984,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-01 23:00:00,-290.8278,193.89834,96.929465,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-02 00:00:00,-324.5184,224.43392,100.08448,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-02 01:00:00,-277.9938,191.81423,86.179573,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-02 02:00:00,-277.9938,193.02723,84.966568,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-02 03:00:00,-279.5976,194.66251,84.935092,0.0,-0.0,0.0,0.0,0.0,-0.0
2019-01-02 04:00:00,-290.8278,201.90104,88.926762,0.0,-0.0,0.0,0.0,0.0,-0.0
