,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie
2019-04-08 00:00:00,-217.0314,140.60646,76.424935,0.0
2019-04-08 01:00:00,-215.4276,141.36791,74.059686,0.0
2019-04-08 02:00:00,-215.4276,140.31224,75.115362,0.0
2019-04-08 03:00:00,-236.2824,154.22128,82.061124,0.0
2019-04-08 04:00:00,-265.1598,171.40904,93.750762,0.0
2019-04-08 05:00:00,-268.3674,163.39252,103.99609,0.97879112
2019-04-08 06:00:00,-277.9938,162.13481,113.24888,2.6101096
2019-04-08 07:00:00,-300.4542,171.11099,120.86035,8.4828564
2019-04-08 08:00:00,-287.6202,157.44463,118.10382,12.071757
2019-04-08 09:00:00,-260.3466,134.04025,112.27701,14.029339
2019-04-08 10:00:00,-223.44839999999996,99.66631,99.12973,24.65236
2019-04-08 11:00:00,-210.6144,85.426101,88.793453,36.394846
2019-04-08 12:00:00,-197.7804,76.14059,82.362665,39.277145
2019-04-08 13:00:00,-188.154,73.271875,78.630386,36.251739
2019-04-08 14:00:00,-180.1332,75.289935,81.352278,23.490987
2019-04-08 15:00:00,-183.3408,80.983885,80.072234,22.284681
2019-04-08 16:00:00,-184.9464,89.482844,86.328173,9.1353838
2019-04-08 17:00:00,-183.3408,90.382488,88.716883,4.2414282
2019-04-08 18:00:00,-192.9672,99.072801,93.233959,0.66043951
2019-04-08 19:00:00,-184.9464,92.429854,92.516546,0.0
2019-04-08 20:00:00,-191.36339999999998,100.5732,90.7902,0.0
2019-04-08 21:00:00,-191.36339999999998,105.8543,85.509097,0.0
2019-04-08 22:00:00,-202.5918,121.13163,81.460168,0.0
2019-04-08 23:00:00,-200.988,126.42227,74.56573,0.0
2019-04-09 00:00:00,-202.5918,131.24569,71.346114,0.0
2019-04-09 01:00:00,-176.9238,113.52396,63.399843,0.0
2019-04-09 02:00:00,-199.3842,129.29507,70.08913,0.0
2019-04-09 03:00:00,-209.0106,133.95775,75.052849,0.0
2019-04-09 04:00:00,-209.0106,128.8837,80.126903,0.0
2019-04-09 05:00:00,-239.49179999999998,143.31294,94.873806,1.3050548
2019-04-09 06:00:00,-255.5334,140.21874,100.28026,15.034396
2019-04-09 07:00:00,-250.72019999999998,127.40036,98.726875,24.592963
2019-04-09 08:00:00,-255.5334,110.0705,82.799061,62.66384
2019-04-09 09:00:00,-252.3258,92.472174,69.12395,90.729677
2019-04-09 10:00:00,-229.86539999999997,65.838184,55.929683,108.09753
2019-04-09 11:00:00,-218.6352,54.959464,47.923433,115.7523
2019-04-09 12:00:00,-205.8012,47.402954,44.370291,114.02795
2019-04-09 13:00:00,-192.9672,44.315099,43.202359,105.44974
2019-04-09 14:00:00,-184.9464,49.957692,49.112155,85.876553
2019-04-09 15:00:00,-181.73700000000002,62.454355,58.025645,61.257
2019-04-09 16:00:00,-164.0898,63.016644,65.635877,35.437279
2019-04-09 17:00:00,-162.486,73.828425,77.092894,11.56468
2019-04-09 18:00:00,-164.0898,79.310361,83.140208,1.6392306
2019-04-09 19:00:00,-176.9238,88.501038,88.422762,0.0
2019-04-09 20:00:00,-191.36339999999998,102.3498,89.0136,0.0
2019-04-09 21:00:00,-188.154,105.51989,82.634108,0.0
2019-04-09 22:00:00,-186.5502,111.37583,75.174373,0.0
2019-04-09 23:00:00,-186.5502,117.40339,69.146805,0.0
2019-04-10 00:00:00,-188.154,122.22681,65.927189,0.0
2019-04-10 01:00:00,-186.5502,122.69403,63.856168,0.0
2019-04-10 02:00:00,-191.36339999999998,125.41257,65.950832,0.0
2019-04-10 03:00:00,-212.2182,138.63269,73.585508,0.0
2019-04-10 04:00:00,-249.1164,161.46934,87.647059,0.0
2019-04-10 05:00:00,-249.1164,150.13377,96.69878,2.2838459
2019-04-10 06:00:00,-249.1164,135.97341,97.244084,15.898901
2019-04-10 07:00:00,-245.90879999999999,117.2046,89.003261,39.700944
2019-04-10 08:00:00,-245.90879999999999,102.73722,76.412132,66.759451
2019-04-10 09:00:00,-220.23899999999998,70.024689,60.718753,89.495558
2019-04-10 10:00:00,-212.2182,54.738993,51.081274,106.39793
2019-04-10 11:00:00,-194.571,39.858728,41.300621,113.41165
2019-04-10 12:00:00,-172.1106,25.646044,34.489721,111.97484
2019-04-10 13:00:00,-175.32000000000002,37.845556,39.880854,97.59359
2019-04-10 14:00:00,-156.06900000000002,44.521582,52.578698,58.96872
2019-04-10 15:00:00,-160.8822,50.856195,51.443315,58.58269
2019-04-10 16:00:00,-160.8822,63.750547,64.549982,32.581671
2019-04-10 17:00:00,-162.486,75.126595,75.059579,12.299826
2019-04-10 18:00:00,-164.0898,82.048307,80.402263,1.6392306
2019-04-10 19:00:00,-164.0898,82.262335,81.827465,0.0
2019-04-10 20:00:00,-175.32000000000002,94.135622,81.184378,0.0
2019-04-10 21:00:00,-175.32000000000002,99.437838,75.882162,0.0
2019-04-10 22:00:00,-175.32000000000002,106.14649,69.173514,0.0
2019-04-10 23:00:00,-175.32000000000002,112.17405,63.145946,0.0
2019-04-11 00:00:00,-164.0898,106.84255,57.247249,0.0
2019-04-11 01:00:00,-164.0898,109.02201,55.067789,0.0
2019-04-11 02:00:00,-165.6936,110.6784,55.0152,0.0
2019-04-11 03:00:00,-165.6936,109.69083,56.002768,0.0
2019-04-11 04:00:00,-188.154,125.53005,62.623946,0.0
2019-04-11 05:00:00,-205.8012,136.05342,67.12976,2.6180217
2019-04-11 06:00:00,-226.65599999999998,141.36221,70.513017,14.780778
2019-04-11 07:00:00,-223.44839999999996,119.35241,62.526423,41.569565
2019-04-11 08:00:00,-210.6144,89.804949,46.641054,74.168397
2019-04-11 09:00:00,-197.7804,83.132636,51.354982,63.292782
2019-04-11 10:00:00,-188.154,74.247439,52.123347,61.783214
2019-04-11 11:00:00,-170.5068,43.148141,28.681704,98.676955
2019-04-11 12:00:00,-154.4652,37.503395,28.362846,88.598959
2019-04-11 13:00:00,-143.23499999999999,43.17198,37.18346,62.87956
2019-04-11 14:00:00,-130.401,46.734002,47.177234,36.489765
2019-04-11 15:00:00,-123.9822,48.591199,51.6871,23.703901
2019-04-11 16:00:00,-128.7954,57.349495,59.700412,11.745493
2019-04-11 17:00:00,-148.04639999999998,74.440022,66.345757,7.2606212
2019-04-11 18:00:00,-189.7578,107.5456,80.572971,1.6392306
2019-04-11 19:00:00,-225.0522,136.32383,88.728373,0.0
2019-04-11 20:00:00,-221.84459999999999,136.79105,85.053551,0.0
2019-04-11 21:00:00,-223.44839999999996,141.23987,82.20853,0.0
2019-04-11 22:00:00,-209.0106,136.8864,72.1242,0.0
2019-04-11 23:00:00,-186.5502,124.28231,62.267886,0.0
2019-04-12 00:00:00,-178.52939999999998,122.16279,56.366611,0.0
2019-04-12 01:00:00,-168.903,116.92119,51.981811,0.0
2019-04-12 02:00:00,-165.6936,114.79894,50.894659,0.0
2019-04-12 03:00:00,-159.2766,109.39797,49.878632,0.0
2019-04-12 04:00:00,-160.8822,110.61302,50.269184,0.0
2019-04-12 05:00:00,-184.9464,128.92496,53.411331,2.6101096
2019-04-12 06:00:00,-188.154,123.23336,52.271818,12.648823
2019-04-12 07:00:00,-189.7578,110.32546,46.927923,32.50442
2019-04-12 08:00:00,-189.7578,91.08019,35.57096,63.106649
2019-04-12 09:00:00,-192.9672,77.443446,29.383664,86.14009
2019-04-12 10:00:00,-228.26160000000004,91.07135,33.911657,103.27859
2019-04-12 11:00:00,-242.6994,97.44211,31.633507,113.62378
2019-04-12 12:00:00,-237.88619999999997,97.502648,28.714986,111.66857
2019-04-12 13:00:00,-213.822,88.032194,26.714851,99.074955
2019-04-12 14:00:00,-183.3408,80.846778,30.935331,71.558691
2019-04-12 15:00:00,-191.36339999999998,97.029429,42.789002,51.544969
2019-04-12 16:00:00,-180.1332,93.873105,49.086125,37.17397
2019-04-12 17:00:00,-199.3842,116.85837,68.554475,13.971358
2019-04-12 18:00:00,-205.8012,126.97475,76.518873,2.3075822
2019-04-12 19:00:00,-242.6994,154.78657,87.912827,0.0
2019-04-12 20:00:00,-223.44839999999996,140.32041,83.127989,0.0
2019-04-12 21:00:00,-220.23899999999998,137.61924,82.619757,0.0
2019-04-12 22:00:00,-212.2182,135.22729,76.990914,0.0
2019-04-12 23:00:00,-189.7578,121.30497,68.452832,0.0
2019-04-13 00:00:00,-191.36339999999998,126.3923,64.971097,0.0
2019-04-13 01:00:00,-189.7578,126.33509,63.422708,0.0
2019-04-13 02:00:00,-209.0106,141.07505,67.935551,0.0
2019-04-13 03:00:00,-253.92960000000002,171.56024,82.369362,0.0
2019-04-13 04:00:00,-247.51260000000002,159.68899,87.823605,0.0
2019-04-13 05:00:00,-229.86539999999997,132.97209,95.58826,1.3050548
2019-04-13 06:00:00,-231.4692,117.91303,96.041321,17.514851
2019-04-13 07:00:00,-274.7844,137.58204,100.38693,36.815431
2019-04-13 08:00:00,-252.3258,113.82785,91.074283,47.423671
2019-04-13 09:00:00,-239.49179999999998,83.972621,71.343614,84.175565
2019-04-13 10:00:00,-218.6352,69.471164,72.920202,76.243835
2019-04-13 11:00:00,-217.0314,65.029105,67.9016,84.100695
2019-04-13 12:00:00,-215.4276,80.167693,83.527702,51.732205
2019-04-13 13:00:00,-221.84459999999999,80.321779,76.137133,65.385688
2019-04-13 14:00:00,-229.86539999999997,98.675588,88.096506,43.093305
2019-04-13 15:00:00,-241.09560000000002,122.44804,99.796301,18.851255
2019-04-13 16:00:00,-245.90879999999999,131.08836,101.68684,13.133599
2019-04-13 17:00:00,-226.65599999999998,118.95169,96.66183,11.042484
