,BHKW_el,Strombedarf,Waermepumpe_el,PV,Strombezug,Stromspeicher_in,Stromspeicher_out
2019-01-01 00:00:00,17.68,-22.68,-0.0,0.0,0.0,-0.0,5.0
2019-01-01 01:00:00,44.658462,-20.04,-24.618462,0.0,0.0,-0.0,0.0
2019-01-01 02:00:00,70.199005,-17.919999999999998,-52.279005,0.0,0.0,-0.0,0.0
2019-01-01 03:00:00,67.796541,-16.119999999999997,-51.676541,0.0,0.0,-0.0,0.0
2019-01-01 04:00:00,67.628714,-15.440000000000001,-52.188714,0.0,0.0,-0.0,0.0
2019-01-01 05:00:00,71.111351,-14.999999999999998,-56.111351,0.0,0.0,-0.0,0.0
2019-01-01 06:00:00,72.845578,-14.999999999999998,-57.845578,0.0,0.0,-0.0,0.0
2019-01-01 07:00:00,79.397016,-17.24,-62.157016,0.0,0.0,-0.0,0.0
2019-01-01 08:00:00,83.903294,-18.64,-65.770379,0.50708491,0.0,-0.0,0.0
2019-01-01 09:00:00,64.329309,-21.8,-52.436262,9.9069533,0.0,-0.0,0.0
2019-01-01 10:00:00,51.729078,-25.92,-41.620371,15.811294,0.0,-0.0,0.0
2019-01-01 11:00:00,73.754671,-30.279999999999998,-52.798585,9.3239144,0.0,-0.0,0.0
2019-01-01 12:00:00,66.05568,-32.760000000000005,-46.064624,12.768945,0.0,-0.0,0.0
2019-01-01 13:00:00,67.318124,-31.120000000000005,-48.066385,11.868261,0.0,-0.0,0.0
2019-01-01 14:00:00,82.636521,-29.76,-59.388152,6.5116315,0.0,-0.0,0.0
2019-01-01 15:00:00,98.987189,-30.52,-68.888404,0.42121536,0.0,-0.0,0.0
2019-01-01 16:00:00,102.8884,-34.0,-68.888404,0.0,0.0,-0.0,0.0
2019-01-01 17:00:00,109.1608,-40.272400000000005,-68.888404,0.0,0.0,-0.0,0.0
2019-01-01 18:00:00,108.5684,-39.68,-68.888404,0.0,0.0,-0.0,0.0
2019-01-01 19:00:00,106.4084,-37.519999999999996,-68.888404,0.0,0.0,-0.0,0.0
