,BHKW_el,Strombedarf,Waermepumpe_el,PV,Stromspeicher_out,Stromspeicher_in
2019-04-08 00:00:00,67.933276,-27.76,-40.173276,0.0,0.0,-0.0
2019-04-08 01:00:00,65.830832,-25.44,-40.390832,0.0,0.0,-0.0
2019-04-08 02:00:00,66.769211,-26.680000000000003,-40.089211,0.0,0.0,-0.0
2019-04-08 03:00:00,72.943222,-28.88,-44.063222,0.0,0.0,-0.0
2019-04-08 04:00:00,83.334011,-34.36000000000001,-48.974011,0.0,0.0,-0.0
2019-04-08 05:00:00,92.19159,-46.072,-46.371099,0.25150937,0.0,-0.0
2019-04-08 06:00:00,100.00067,-55.180400000000006,-45.490957,0.67069164,0.0,-0.0
2019-04-08 07:00:00,105.27016,-61.2692,-46.180709,2.1797478,0.0,-0.0
2019-04-08 08:00:00,101.90553,-63.8772,-41.130279,3.1019489,0.0,-0.0
2019-04-08 09:00:00,96.227391,-66.01400000000001,-33.818358,3.6049676,0.0,-0.0
2019-04-08 10:00:00,81.834389,-67.5632,-20.60584,6.3346503,0.0,-0.0
2019-04-08 11:00:00,69.654838,-66.21839999999999,-12.788428,9.35199,0.0,-0.0
2019-04-08 12:00:00,63.20423,-64.0816,-9.2152529,10.092623,0.0,-0.0
2019-04-08 13:00:00,60.657462,-60.611200000000004,-9.3614789,9.3152171,0.0,-0.0
2019-04-08 14:00:00,66.328104,-58.352399999999996,-14.011929,6.0362248,0.0,-0.0
2019-04-08 15:00:00,65.49763,-55.199999999999996,-16.023884,5.7262534,0.0,-0.0
2019-04-08 16:00:00,74.408641,-54.106,-22.650062,2.3474208,0.0,-0.0
2019-04-08 17:00:00,77.778821,-54.3992,-24.469495,1.0898739,0.0,-0.0
2019-04-08 18:00:00,82.706364,-54.78040000000001,-28.09567,0.169706,0.0,-0.0
2019-04-08 19:00:00,82.23693,-55.8284,-26.40853,0.0,0.0,-0.0
2019-04-08 20:00:00,80.7024,-51.9672,-28.7352,0.0,0.0,-0.0
2019-04-08 21:00:00,76.008086,-45.763999999999996,-30.244086,0.0,0.0,-0.0
2019-04-08 22:00:00,72.409038,-37.8,-34.609038,0.0,0.0,-0.0
2019-04-08 23:00:00,66.280649,-30.16,-36.120649,0.0,0.0,-0.0
2019-04-09 00:00:00,63.418768,-25.92,-37.498768,0.0,0.0,-0.0
2019-04-09 01:00:00,56.355416,-23.919999999999998,-32.435416,0.0,0.0,-0.0
2019-04-09 02:00:00,62.301449,-25.36,-36.941449,0.0,0.0,-0.0
2019-04-09 03:00:00,66.713643,-28.439999999999998,-38.273643,0.0,0.0,-0.0
2019-04-09 04:00:00,71.223914,-34.4,-36.823914,0.0,0.0,-0.0
2019-04-09 05:00:00,83.99977,-43.8052,-40.529916,0.33534582,0.0,-0.0
2019-04-09 06:00:00,85.30755,-53.90800000000001,-35.262776,3.8632261,0.0,-0.0
2019-04-09 07:00:00,81.491429,-59.262,-28.548817,6.3193878,0.0,-0.0
2019-04-09 08:00:00,57.633677,-62.292399999999994,-11.443326,16.102049,0.0,-0.0
2019-04-09 09:00:00,30.872176,-64.18599999999999,-0.0,23.313824,10.0,-0.0
2019-04-09 10:00:00,37.873346,-65.64999999999999,-0.0,27.776654,0.0,-0.0
2019-04-09 11:00:00,34.358383,-64.10199999999999,-0.0,29.743617,0.0,-0.0
2019-04-09 12:00:00,33.24787,-62.5484,-0.0,29.30053,0.0,-0.0
2019-04-09 13:00:00,32.53892,-59.6352,-0.0,27.09628,0.0,-0.0
2019-04-09 14:00:00,34.918031,-56.98480000000001,-0.0,22.066769,0.0,-0.0
2019-04-09 15:00:00,37.683451,-53.42399999999999,-0.0,15.740549,0.0,-0.0
2019-04-09 16:00:00,42.622866,-51.72880000000001,-0.0,9.1059343,0.0,-0.0
2019-04-09 17:00:00,48.178749,-51.1504,-0.0,2.9716509,0.0,-0.0
2019-04-09 18:00:00,51.347985,-51.76919999999999,-0.0,0.42121536,0.0,-0.0
2019-04-09 19:00:00,53.312,-53.312,-0.0,0.0,0.0,-0.0
2019-04-09 20:00:00,71.168168,-49.8804,-21.287768,0.0,0.0,-0.0
2019-04-09 21:00:00,73.452541,-43.304,-30.148541,0.0,0.0,-0.0
2019-04-09 22:00:00,66.821665,-35.0,-31.821665,0.0,0.0,-0.0
2019-04-09 23:00:00,61.463827,-27.919999999999995,-33.543827,0.0,0.0,-0.0
2019-04-10 00:00:00,58.601946,-23.680000000000003,-34.921946,0.0,0.0,-0.0
2019-04-10 01:00:00,56.761038,-21.705599999999997,-35.055438,0.0,0.0,-0.0
2019-04-10 02:00:00,58.622962,-22.7908,-35.832162,0.0,0.0,-0.0
2019-04-10 03:00:00,65.409341,-25.799999999999997,-39.609341,0.0,0.0,-0.0
2019-04-10 04:00:00,77.908497,-31.7744,-46.134097,0.0,0.0,-0.0
2019-04-10 05:00:00,85.372593,-43.7932,-42.166248,0.58685519,0.0,-0.0
2019-04-10 06:00:00,82.388465,-52.7,-33.773834,4.0853686,0.0,-0.0
2019-04-10 07:00:00,68.999006,-58.388,-20.812528,10.201522,0.0,-0.0
2019-04-10 08:00:00,58.878788,-60.0268,-5.4801265,17.154454,0.0,-10.526316
2019-04-10 09:00:00,29.734895,-62.73159999999999,-0.0,22.996705,10.0,-0.0
2019-04-10 10:00:00,36.625274,-63.9652,-0.0,27.339926,0.0,-0.0
2019-04-10 11:00:00,32.635035,-61.77719999999999,-0.0,29.142165,0.0,-0.0
2019-04-10 12:00:00,30.549038,-59.321999999999996,-0.0,28.772962,0.0,-0.0
2019-04-10 13:00:00,30.928431,-56.006,-0.0,25.077569,0.0,-0.0
2019-04-10 14:00:00,37.817846,-52.9704,-0.0,15.152554,0.0,-0.0
2019-04-10 15:00:00,34.97384,-50.02719999999999,-0.0,15.05336,0.0,-0.0
2019-04-10 16:00:00,41.26384,-49.636,-0.0,8.3721597,0.0,-0.0
2019-04-10 17:00:00,46.047847,-49.208400000000005,-0.0,3.1605532,0.0,-0.0
2019-04-10 18:00:00,48.131985,-48.5532,-0.0,0.42121536,0.0,-0.0
2019-04-10 19:00:00,49.232,-49.232,-0.0,0.0,0.0,-0.0
2019-04-10 20:00:00,55.300766,-45.268,-10.032766,0.0,0.0,-0.0
2019-04-10 21:00:00,67.450811,-39.04,-28.410811,0.0,0.0,-0.0
2019-04-10 22:00:00,61.487568,-31.16,-30.327568,0.0,0.0,-0.0
2019-04-10 23:00:00,56.12973,-24.08,-32.04973,0.0,0.0,-0.0
2019-04-11 00:00:00,50.886443,-20.360000000000003,-30.526443,0.0,0.0,-0.0
2019-04-11 01:00:00,48.949146,-17.8,-31.149146,0.0,0.0,-0.0
2019-04-11 02:00:00,48.9024,-17.28,-31.6224,0.0,0.0,-0.0
2019-04-11 03:00:00,49.780238,-18.44,-31.340238,0.0,0.0,-0.0
2019-04-11 04:00:00,55.66573,-19.799999999999997,-35.86573,0.0,0.0,-0.0
2019-04-11 05:00:00,59.003879,-21.64,-38.036603,0.67272473,0.0,-0.0
2019-04-11 06:00:00,58.912392,-27.039999999999996,-35.670448,3.7980567,0.0,-0.0
