,Strombedarf,Strombezug,BHKW_el,PV,Stromspeicher_in,Stromspeicher_out
2019-08-05 00:00:00,-23.199999999999996,0.0,23.2,0.0,-0.0,0.0
2019-08-05 01:00:00,-21.240000000000002,0.0,21.24,0.0,-0.0,0.0
2019-08-05 02:00:00,-21.1024,0.0,21.1024,0.0,-0.0,0.0
2019-08-05 03:00:00,-23.24,0.0,23.24,0.0,-0.0,0.0
2019-08-05 04:00:00,-28.16,0.0,27.822621,0.33737891,-0.0,0.0
2019-08-05 05:00:00,-39.44,0.0,37.476349,1.9636509,-0.0,0.0
2019-08-05 06:00:00,-49.79240000000001,29.10711,13.516693,7.1685969,-0.0,0.0
2019-08-05 07:00:00,-55.64040000000001,43.056423,0.0,12.583977,-0.0,0.0
2019-08-05 08:00:00,-57.780800000000006,38.085575,0.0,19.695225,-0.0,0.0
2019-08-05 09:00:00,-60.802800000000005,34.081127,0.0,26.721673,-0.0,0.0
2019-08-05 10:00:00,-64.50919999999999,33.966532,0.0,30.542668,-0.0,0.0
2019-08-05 11:00:00,-64.1656,31.875157,0.0,32.290443,-0.0,0.0
2019-08-05 12:00:00,-62.4896,31.442357,0.0,31.047243,-0.0,0.0
2019-08-05 13:00:00,-60.6512,32.923702,0.0,27.727498,-0.0,0.0
2019-08-05 14:00:00,-57.98919999999999,36.029888,0.0,21.959312,-0.0,0.0
2019-08-05 15:00:00,-54.406400000000005,36.131079,0.0,18.275321,-0.0,0.0
2019-08-05 16:00:00,-53.60640000000001,43.011922,0.0,10.594478,-0.0,0.0
2019-08-05 17:00:00,-52.75880000000001,47.833295,0.0,4.9255048,-0.0,0.0
2019-08-05 18:00:00,-50.5696,49.126082,0.0,1.4435175,-0.0,0.0
2019-08-05 19:00:00,-46.3076,46.139927,0.0,0.16767291,-0.0,0.0
2019-08-05 20:00:00,-45.134,45.134,0.0,0.0,-0.0,0.0
2019-08-05 21:00:00,-40.190400000000004,40.1904,0.0,0.0,-0.0,0.0
2019-08-05 22:00:00,-32.4,32.4,0.0,0.0,-0.0,0.0
2019-08-05 23:00:00,-27.433999999999997,27.434,0.0,0.0,-0.0,0.0
2019-08-06 00:00:00,-24.36,19.368691,4.9913095,0.0,-0.0,0.0
2019-08-06 01:00:00,-22.880000000000003,0.0,22.88,0.0,-0.0,0.0
