,BHKW_el,Waermepumpe_el,Strombedarf,PV,Stromspeicher_out,Stromspeicher_in
2019-01-07 00:00:00,86.068714,-55.428714,-30.639999999999997,0.0,0.0,-0.0
2019-01-07 01:00:00,82.890335,-56.450335,-26.439999999999998,0.0,0.0,-0.0
2019-01-07 02:00:00,81.363027,-56.483027,-24.88,0.0,0.0,-0.0
2019-01-07 03:00:00,81.318962,-56.038962,-25.28,0.0,0.0,-0.0
2019-01-07 04:00:00,87.551222,-60.911222,-26.639999999999997,0.0,0.0,-0.0
2019-01-07 05:00:00,96.419286,-64.019286,-32.4,0.0,0.0,-0.0
2019-01-07 06:00:00,109.31066,-61.709059,-47.6016,0.0,0.0,-0.0
2019-01-07 07:00:00,117.64074,-57.656335,-59.9844,0.0,0.0,-0.0
2019-01-07 08:00:00,133.13786,-68.520172,-64.86919999999999,0.25150937,0.0,-0.0
2019-01-07 09:00:00,133.59446,-68.888404,-65.9636,1.2575468,0.0,-0.0
2019-01-07 10:00:00,127.6286,-62.78096,-68.2456,3.3979607,0.0,-0.0
2019-01-07 11:00:00,119.9789,-54.345557,-69.506,3.8726532,0.0,-0.0
2019-01-07 12:00:00,115.90511,-49.641246,-68.9568,2.6929401,0.0,-0.0
2019-01-07 13:00:00,115.20795,-49.806029,-67.774,2.3720791,0.0,-0.0
2019-01-07 14:00:00,111.2973,-49.355463,-65.4672,3.5253668,0.0,-0.0
2019-01-07 15:00:00,115.71315,-53.014602,-64.324,1.6254478,0.0,-0.0
2019-01-07 16:00:00,123.52843,-58.056032,-65.4724,0.0,0.0,-0.0
2019-01-07 17:00:00,131.1616,-59.7276,-71.43400000000001,0.0,0.0,-0.0
2019-01-07 18:00:00,133.32368,-62.241276,-71.08239999999999,0.0,0.0,-0.0
2019-01-07 19:00:00,131.63827,-63.69947,-67.9388,0.0,0.0,-0.0
2019-01-07 20:00:00,121.86465,-60.424249,-61.440400000000004,0.0,0.0,-0.0
2019-01-07 21:00:00,113.08986,-56.827459,-56.26240000000001,0.0,0.0,-0.0
2019-01-07 22:00:00,104.83204,-52.148043,-52.684,0.0,0.0,-0.0
2019-01-07 23:00:00,97.101492,-52.340692,-44.7608,0.0,0.0,-0.0
2019-01-08 00:00:00,90.085838,-51.845838,-38.239999999999995,0.0,0.0,-0.0
2019-01-08 01:00:00,86.469881,-52.549881,-33.92,0.0,0.0,-0.0
2019-01-08 02:00:00,83.615265,-51.175265,-32.44,0.0,0.0,-0.0
2019-01-08 03:00:00,83.615265,-51.175265,-32.44,0.0,0.0,-0.0
2019-01-08 04:00:00,87.058811,-52.818811,-34.239999999999995,0.0,0.0,-0.0
2019-01-08 05:00:00,99.935611,-61.055611,-38.879999999999995,0.0,0.0,-0.0
2019-01-08 06:00:00,119.9933,-67.442497,-52.5508,0.0,0.0,-0.0
2019-01-08 07:00:00,132.82469,-66.985492,-65.83919999999999,0.0,0.0,-0.0
2019-01-08 08:00:00,134.24082,-66.774475,-71.3532,0.25150937,3.6353438,-0.0
2019-01-08 09:00:00,129.64647,-59.144815,-71.75919999999999,1.2575468,0.0,-0.0
2019-01-08 10:00:00,129.20637,-57.931661,-72.86760000000001,1.5928927,0.0,-0.0
