,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie,Waermespeicher_in,Waermespeicher_out,Gaskessel,Waermeueberschuss,Waermebezug
2019-01-01 00:00:00,-282.80699999999996,0.0,19.89,0.0,-0.0,262.917,0.0,-0.0,0.0
2019-01-01 01:00:00,-269.973,86.164617,50.24077,0.0,-0.0,133.56761,0.0,-0.0,0.0
2019-01-01 02:00:00,-261.9504,182.97652,78.973881,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 03:00:00,-257.139,180.86789,76.271108,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 04:00:00,-258.74280000000005,182.6605,76.082303,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 05:00:00,-276.39,196.38973,80.00027,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 06:00:00,-284.4108,202.45952,81.951276,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 07:00:00,-306.87120000000004,217.54956,89.321643,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 08:00:00,-329.3316,230.19633,94.391206,4.7440691,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 09:00:00,-348.5826,183.52692,72.370473,92.685209,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 10:00:00,-351.7902,145.6713,58.195212,147.92369,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 11:00:00,-354.99960000000004,184.79505,82.974005,87.230548,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 12:00:00,-354.99960000000004,161.22619,74.31264,119.46077,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 13:00:00,-354.99960000000004,168.23235,75.732889,111.03436,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 14:00:00,-350.1864,207.85853,92.966086,60.920033,-11.558253,0.0,0.0,-0.0,0.0
2019-01-01 15:00:00,-346.977,241.10941,111.36059,3.9407104,-9.4337118,0.0,0.0,-0.0,0.0
2019-01-01 16:00:00,-366.2298,241.10941,115.74945,0.0,-0.0,9.3709313,0.0,-0.0,0.0
2019-01-01 17:00:00,-374.2506,241.10941,122.8059,0.0,-0.0,10.335281,0.0,-0.0,0.0
2019-01-01 18:00:00,-359.8128,241.10941,122.13945,0.0,-3.4360687,0.0,0.0,-0.0,0.0
2019-01-01 19:00:00,-361.4166,241.10941,119.70945,0.0,-0.0,0.59773132,0.0,-0.0,0.0
2019-01-01 20:00:00,-361.4166,241.10941,117.65399,0.0,-0.0,2.6531976,0.0,-0.0,0.0
2019-01-01 21:00:00,-343.76939999999996,239.02291,104.74649,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 22:00:00,-305.2674,200.28756,104.97984,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-01 23:00:00,-290.8278,193.89834,96.929465,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 00:00:00,-324.5184,224.43392,100.08448,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 01:00:00,-277.9938,191.81423,86.179573,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 02:00:00,-277.9938,193.02723,84.966568,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 03:00:00,-279.5976,194.66251,84.935092,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 04:00:00,-290.8278,201.90104,88.926762,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 05:00:00,-310.0788,213.23423,96.844573,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 06:00:00,-343.76939999999996,233.62171,110.14769,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 07:00:00,-343.76939999999996,226.4363,117.3331,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 08:00:00,-342.1656,218.36638,123.01488,0.78433795,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 09:00:00,-345.37320000000005,214.19602,125.68681,5.4903656,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 10:00:00,-345.37320000000005,206.08986,125.9496,13.333745,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 11:00:00,-340.56,192.74153,122.49831,25.320159,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 12:00:00,-359.8128,198.69037,122.03697,39.085457,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 13:00:00,-358.20720000000006,209.29642,126.31622,22.594565,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 14:00:00,-330.93539999999996,173.95732,109.92853,47.049548,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 15:00:00,-330.93539999999996,195.44975,119.42518,16.060474,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 16:00:00,-329.3316,202.92811,126.40349,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 17:00:00,-329.3316,198.34443,130.98717,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 18:00:00,-327.726,197.4437,130.2823,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 19:00:00,-327.726,201.52236,126.20364,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 20:00:00,-327.726,207.35037,120.37563,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 21:00:00,-326.1222,209.66468,116.45752,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 22:00:00,-305.2674,196.86785,108.39955,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-02 23:00:00,-294.0372,196.42923,97.607968,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 00:00:00,-286.01460000000003,198.15645,87.858146,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 01:00:00,-295.641,208.91481,86.726189,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 02:00:00,-308.475,221.21514,87.259865,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 03:00:00,-300.4542,216.57561,83.878589,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 04:00:00,-298.84860000000003,214.95191,83.896686,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 05:00:00,-297.24479999999994,212.92093,84.32387,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 06:00:00,-297.24479999999994,210.59674,86.648059,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 07:00:00,-329.3316,230.39202,98.939578,0.0,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 08:00:00,-348.5826,238.03596,107.40929,3.1373518,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 09:00:00,-351.7902,228.88475,110.35604,12.549407,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 10:00:00,-354.99960000000004,237.74068,116.35443,20.392787,-19.488304,0.0,0.0,-0.0,0.0
2019-01-03 11:00:00,-401.5242,241.10941,122.68702,18.824111,-0.0,18.903655,0.0,-0.0,0.0
2019-01-03 12:00:00,-380.6676,238.59559,123.2479,18.824111,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 13:00:00,-371.0412,230.40724,119.45684,21.177125,-0.0,0.0,0.0,-0.0,0.0
2019-01-03 14:00:00,-350.1864,220.75668,114.5273,14.902421,-0.0,0.0,0.0,-0.0,0.0
