,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie,Waermespeicher_in,Waermespeicher_out
2019-04-08 00:00:00,-217.0314,140.60646,76.424935,0.0,-0.0,0.0
2019-04-08 01:00:00,-215.4276,141.36791,74.059686,0.0,-0.0,0.0
2019-04-08 02:00:00,-215.4276,140.31224,75.115362,0.0,-0.0,0.0
2019-04-08 03:00:00,-236.2824,154.22128,82.061124,0.0,-0.0,0.0
2019-04-08 04:00:00,-265.1598,171.40904,93.750762,0.0,-0.0,0.0
2019-04-08 05:00:00,-268.3674,162.29885,103.71554,2.3530138,-0.0,0.0
2019-04-08 06:00:00,-277.9938,159.21835,112.50075,6.2747036,-0.0,0.0
2019-04-08 07:00:00,-300.4542,161.63248,118.42893,20.392787,-0.0,0.0
2019-04-08 08:00:00,-287.6202,143.95597,114.64372,29.020504,-0.0,0.0
2019-04-08 09:00:00,-260.3466,118.36425,108.25581,33.726532,-0.0,0.0
2019-04-08 10:00:00,-223.44839999999996,72.120439,92.063688,59.264273,-0.0,0.0
2019-04-08 11:00:00,-210.6144,44.759497,78.361692,87.493211,-0.0,0.0
2019-04-08 12:00:00,-197.7804,32.253385,71.104759,94.422256,-0.0,0.0
2019-04-08 13:00:00,-188.154,32.765176,68.239644,87.14918,-0.0,0.0
2019-04-08 14:00:00,-180.1332,49.041751,74.619117,56.472332,-0.0,0.0
2019-04-08 15:00:00,-183.3408,56.083593,73.684834,53.572373,-0.0,0.0
2019-04-08 16:00:00,-184.9464,79.275216,83.709721,21.961463,-0.0,0.0
2019-04-08 17:00:00,-183.3408,85.643233,87.501174,10.196393,-0.0,0.0
2019-04-08 18:00:00,-192.9672,98.334844,93.044659,1.5876966,-0.0,0.0
2019-04-08 19:00:00,-184.9464,92.429854,92.516546,0.0,-0.0,0.0
2019-04-08 20:00:00,-191.36339999999998,100.5732,90.7902,0.0,-0.0,0.0
2019-04-08 21:00:00,-191.36339999999998,105.8543,85.509097,0.0,-0.0,0.0
2019-04-08 22:00:00,-202.5918,121.13163,81.460168,0.0,-0.0,0.0
2019-04-08 23:00:00,-200.988,126.42227,74.56573,0.0,-0.0,0.0
2019-04-09 00:00:00,-202.5918,131.24569,71.346114,0.0,-0.0,0.0
2019-04-09 01:00:00,-176.9238,113.52396,63.399843,0.0,-0.0,0.0
2019-04-09 02:00:00,-199.3842,129.29507,70.08913,0.0,-0.0,0.0
2019-04-09 03:00:00,-209.0106,133.95775,75.052849,0.0,-0.0,0.0
2019-04-09 04:00:00,-209.0106,128.8837,80.126903,0.0,-0.0,0.0
2019-04-09 05:00:00,-239.49179999999998,141.85471,94.499742,3.1373518,-0.0,0.0
2019-04-09 06:00:00,-255.5334,123.41972,95.970994,36.142688,-0.0,0.0
2019-04-09 07:00:00,-250.72019999999998,99.920859,91.677858,59.121484,-0.0,0.0
2019-04-09 08:00:00,-255.5334,40.051642,64.837887,150.64387,-0.0,0.0
2019-04-09 09:00:00,-252.3258,0.0,34.731198,218.11414,-0.51954129,0.0
2019-04-09 10:00:00,-229.86539999999997,0.0,42.607514,259.86647,-72.608584,0.0
2019-04-09 11:00:00,-218.6352,0.0,38.653181,278.26854,-98.286517,0.0
2019-04-09 12:00:00,-205.8012,0.0,37.403854,274.1232,-105.72586,0.0
2019-04-09 13:00:00,-192.9672,0.0,36.606285,253.50118,-97.140266,0.0
2019-04-09 14:00:00,-184.9464,0.0,39.282785,206.44723,-60.783618,0.0
2019-04-09 15:00:00,-181.73700000000002,0.0,42.393883,147.26183,-7.9187098,0.0
2019-04-09 16:00:00,-164.0898,0.0,47.950724,85.191219,-0.0,30.947857
2019-04-09 17:00:00,-162.486,0.0,54.201093,27.801492,-0.0,80.483415
2019-04-09 18:00:00,-164.0898,0.0,57.766483,3.9407104,-0.0,102.38261
2019-04-09 19:00:00,-176.9238,0.0,59.976,0.0,-0.0,116.9478
2019-04-09 20:00:00,-191.36339999999998,74.50719,80.06419,0.0,-0.0,36.792021
2019-04-09 21:00:00,-188.154,105.51989,82.634108,0.0,-0.0,0.0
2019-04-09 22:00:00,-186.5502,111.37583,75.174373,0.0,-0.0,0.0
2019-04-09 23:00:00,-186.5502,117.40339,69.146805,0.0,-0.0,0.0
2019-04-10 00:00:00,-188.154,122.22681,65.927189,0.0,-0.0,0.0
2019-04-10 01:00:00,-186.5502,122.69403,63.856168,0.0,-0.0,0.0
2019-04-10 02:00:00,-191.36339999999998,125.41257,65.950832,0.0,-0.0,0.0
2019-04-10 03:00:00,-212.2182,138.63269,73.585508,0.0,-0.0,0.0
2019-04-10 04:00:00,-249.1164,161.46934,87.647059,0.0,-0.0,0.0
2019-04-10 05:00:00,-249.1164,147.58187,96.044167,5.4903656,-0.0,0.0
2019-04-10 06:00:00,-249.1164,118.20842,92.687023,38.220958,-0.0,0.0
2019-04-10 07:00:00,-245.90879999999999,72.843849,77.623882,95.441069,-0.0,0.0
2019-04-10 08:00:00,-245.90879999999999,19.180443,66.238637,160.48972,-0.0,0.0
2019-04-10 09:00:00,-220.23899999999998,0.0,33.451756,215.14732,-28.360077,0.0
2019-04-10 10:00:00,-212.2182,0.0,41.203433,255.78063,-84.765865,0.0
2019-04-10 11:00:00,-194.571,0.0,36.714414,272.64161,-114.78502,0.0
2019-04-10 12:00:00,-172.1106,0.0,34.367667,269.1875,-131.44457,0.0
2019-04-10 13:00:00,-175.32000000000002,0.0,34.794485,234.61499,-94.089475,0.0
2019-04-10 14:00:00,-156.06900000000002,0.0,42.545077,141.7608,-28.236879,0.0
2019-04-10 15:00:00,-160.8822,0.0,39.34557,140.83279,-19.296157,0.0
2019-04-10 16:00:00,-160.8822,0.0,46.42182,78.326338,-0.0,36.134042
2019-04-10 17:00:00,-162.486,0.0,51.803828,29.568782,-0.0,81.113391
