,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie
2019-10-13 23:00:00,-184.9464,111.66052,73.285881,0.0
2019-10-14 00:00:00,-157.67280000000002,94.449259,63.223541,0.0
2019-10-14 01:00:00,-164.0898,100.54255,63.547249,0.0
2019-10-14 02:00:00,-180.1332,112.17269,67.960508,0.0
2019-10-14 03:00:00,-192.9672,119.43302,73.534184,0.0
2019-10-14 04:00:00,-204.1974,122.58506,81.612341,0.0
2019-10-14 05:00:00,-237.88619999999997,135.33694,102.54926,0.0
2019-10-14 06:00:00,-249.1164,133.02126,116.09514,0.0
2019-10-14 07:00:00,-265.1598,137.29496,122.09796,5.7668861
2019-10-14 08:00:00,-263.556,135.95847,122.53366,5.0638658
2019-10-14 09:00:00,-257.139,127.49095,121.80467,7.8433795
2019-10-14 10:00:00,-244.30319999999998,113.16329,118.59051,12.549407
2019-10-14 11:00:00,-244.30319999999998,107.73636,115.38971,21.177125
2019-10-14 12:00:00,-239.49179999999998,112.21773,115.509,11.765069
2019-10-14 13:00:00,-252.3258,124.90701,118.00674,9.4120554
2019-10-14 14:00:00,-249.1164,126.10602,117.52002,5.4903656
2019-10-14 15:00:00,-245.90879999999999,126.4074,114.01104,5.4903656
2019-10-14 16:00:00,-249.1164,131.31715,115.44624,2.3530138
2019-10-14 17:00:00,-255.5334,135.20072,120.33268,0.0
2019-10-14 18:00:00,-257.139,135.94583,121.19317,0.0
2019-10-14 19:00:00,-266.7636,149.29059,117.47301,0.0
2019-10-14 20:00:00,-249.1164,142.37421,106.74219,0.0
2019-10-14 21:00:00,-236.2824,138.28704,97.995357,0.0
2019-10-14 22:00:00,-215.4276,129.78954,85.638065,0.0
2019-10-14 23:00:00,-184.9464,112.3416,72.6048,0.0
2019-10-15 00:00:00,-181.73700000000002,113.11395,68.623054,0.0
2019-10-15 01:00:00,-173.7162,108.44037,65.275832,0.0
2019-10-15 02:00:00,-188.154,118.99168,69.162324,0.0
2019-10-15 03:00:00,-202.5918,127.70406,74.887735,0.0
2019-10-15 04:00:00,-218.6352,134.15799,84.477211,0.0
2019-10-15 05:00:00,-220.23899999999998,122.42501,97.813995,0.0
2019-10-15 06:00:00,-245.90879999999999,131.40336,114.50544,0.0
2019-10-15 07:00:00,-252.3258,131.06937,119.68776,1.5686759
2019-10-15 08:00:00,-257.139,131.73043,121.09474,4.3138371
2019-10-15 09:00:00,-217.0314,98.847417,113.2997,4.88428
2019-10-15 10:00:00,-223.44839999999996,99.063044,114.9733,9.4120554
2019-10-15 11:00:00,-226.65599999999998,102.16741,115.07653,9.4120554
2019-10-15 12:00:00,-225.0522,95.382493,110.06126,19.608449
2019-10-15 13:00:00,-226.65599999999998,97.378482,108.10039,21.177125
2019-10-15 14:00:00,-213.822,96.920022,107.48992,9.4120554
2019-10-15 15:00:00,-217.0314,105.92891,107.1808,3.9216897
