,Solarthermie,Waermebedarf,Waermespeicher_in,Waermespeicher_out,BHKW_th,Waermeueberschuss
2019-08-05 00:00:00,0.0,-64.62540000000001,-0.0,38.5254,26.1,-0.0
2019-08-05 01:00:00,0.0,-67.833,-0.0,43.938,23.895,-0.0
2019-08-05 02:00:00,0.0,-67.833,-0.0,44.0928,23.7402,-0.0
2019-08-05 03:00:00,0.0,-71.0424,-0.0,44.8974,26.145,-0.0
2019-08-05 04:00:00,3.1563725,-75.8538,-0.0,41.396979,31.300449,-0.0
2019-08-05 05:00:00,18.371076,-82.2726,-0.0,21.740631,42.160893,-0.0
2019-08-05 06:00:00,67.06632,-82.2726,-0.0,0.0,15.20628,-0.0
2019-08-05 07:00:00,117.7303,-83.8764,-0.0,0.0,0.0,-33.853895
2019-08-05 08:00:00,184.26008,-79.0632,-0.0,0.0,0.0,-105.19688
2019-08-05 09:00:00,249.99652,-75.8538,-0.0,0.0,0.0,-174.14272
2019-08-05 10:00:00,285.74411,-67.833,-0.0,0.0,0.0,-217.91111
2019-08-05 11:00:00,302.09555,-66.2292,-226.50099,0.0,0.0,-9.3653636
2019-08-05 12:00:00,290.4647,-71.0424,-219.4223,0.0,0.0,-0.0
2019-08-05 13:00:00,259.40659,-69.43679999999999,-189.96979,0.0,0.0,-0.0
2019-08-05 14:00:00,205.44191,-66.2292,-139.21271,0.0,0.0,-0.0
2019-08-05 15:00:00,170.97607,-66.2292,-104.74687,0.0,0.0,-0.0
2019-08-05 16:00:00,99.117395,-67.833,-31.284395,0.0,0.0,-0.0
2019-08-05 17:00:00,46.080912,-67.833,-0.0,21.752088,0.0,-0.0
2019-08-05 18:00:00,13.504931,-67.833,-0.0,54.328069,0.0,-0.0
2019-08-05 19:00:00,1.5686759,-67.833,-0.0,66.264324,0.0,-0.0
2019-08-05 20:00:00,0.0,-69.43679999999999,-0.0,69.4368,0.0,-0.0
2019-08-05 21:00:00,0.0,-67.833,-0.0,67.833,0.0,-0.0
2019-08-05 22:00:00,0.0,-66.2292,-0.0,66.2292,0.0,-0.0
2019-08-05 23:00:00,0.0,-69.43679999999999,-0.0,69.4368,0.0,-0.0
2019-08-06 00:00:00,0.0,-66.2292,-0.0,60.613977,5.6152231,-0.0
2019-08-06 01:00:00,0.0,-66.2292,-0.0,40.4892,25.74,-0.0
2019-08-06 02:00:00,0.0,-72.6462,-0.0,47.4462,25.2,-0.0
2019-08-06 03:00:00,0.0,-74.25,-0.0,47.205,27.045,-0.0
2019-08-06 04:00:00,1.5876966,-74.25,-0.0,40.003223,32.659081,-0.0
2019-08-06 05:00:00,14.138118,-79.0632,-0.0,21.389829,43.535253,-0.0
2019-08-06 06:00:00,72.2412,-77.4594,-0.0,0.0,5.2181999,-0.0
2019-08-06 07:00:00,122.66014,-72.6462,-0.0,0.0,0.0,-50.013939
2019-08-06 08:00:00,197.40979,-67.833,-0.0,0.0,0.0,-129.57679
2019-08-06 09:00:00,251.93647,-64.62540000000001,-0.0,0.0,0.0,-187.31107
2019-08-06 10:00:00,278.4661,-64.62540000000001,-29.440012,0.0,0.0,-184.40069
2019-08-06 11:00:00,292.86653,-66.2292,-226.63733,0.0,0.0,-0.0
2019-08-06 12:00:00,277.63746,-66.2292,-211.40826,0.0,0.0,-0.0
2019-08-06 13:00:00,253.61914,-63.019800000000004,-190.59934,0.0,0.0,-0.0
2019-08-06 14:00:00,207.75281,-66.2292,-141.52361,0.0,0.0,-0.0
2019-08-06 15:00:00,153.55031,-63.019800000000004,-90.530509,0.0,0.0,-0.0
2019-08-06 16:00:00,83.431774,-64.62540000000001,-18.806374,0.0,0.0,-0.0
2019-08-06 17:00:00,44.282224,-66.2292,-0.0,21.946976,0.0,-0.0
2019-08-06 18:00:00,11.228,-64.62540000000001,-0.0,53.3974,0.0,-0.0
2019-08-06 19:00:00,1.5686759,-63.019800000000004,-0.0,61.451124,0.0,-0.0
2019-08-06 20:00:00,0.0,-64.62540000000001,-0.0,64.6254,0.0,-0.0
2019-08-06 21:00:00,0.0,-66.2292,-0.0,66.2292,0.0,-0.0
2019-08-06 22:00:00,0.0,-66.2292,-0.0,66.2292,0.0,-0.0
2019-08-06 23:00:00,0.0,-64.62540000000001,-0.0,64.6254,0.0,-0.0
2019-08-07 00:00:00,0.0,-63.019800000000004,-0.0,63.0198,0.0,-0.0
2019-08-07 01:00:00,0.0,-63.019800000000004,-0.0,63.0198,0.0,-0.0
2019-08-07 02:00:00,0.0,-66.2292,-0.0,66.2292,0.0,-0.0
2019-08-07 03:00:00,0.0,-64.62540000000001,-0.0,41.439462,23.185938,-0.0
2019-08-07 04:00:00,2.3720345,-63.019800000000004,-0.0,28.218001,32.429765,-0.0
2019-08-07 05:00:00,15.210069,-66.2292,-0.0,8.0731294,42.946001,-0.0
2019-08-07 06:00:00,60.881931,-66.2292,-0.0,0.0,5.3472688,-0.0
2019-08-07 07:00:00,124.09076,-63.019800000000004,-0.0,0.0,0.0,-61.070958
2019-08-07 08:00:00,178.45347,-63.019800000000004,-0.0,0.0,0.0,-115.43367
2019-08-07 09:00:00,232.13342,-64.62540000000001,-0.0,0.0,0.0,-167.50802
2019-08-07 10:00:00,265.02602,-64.62540000000001,-22.483821,0.0,0.0,-177.9168
2019-08-07 11:00:00,281.8722,-64.62540000000001,-217.2468,0.0,0.0,-0.0
2019-08-07 12:00:00,275.09518,-64.62540000000001,-210.46978,0.0,0.0,-0.0
2019-08-07 13:00:00,251.41927,-66.2292,-185.19007,0.0,0.0,-0.0
2019-08-07 14:00:00,210.87252,-64.62540000000001,-146.24712,0.0,0.0,-0.0
2019-08-07 15:00:00,158.84059,-64.62540000000001,-94.21519,0.0,0.0,-0.0
2019-08-07 16:00:00,99.407668,-63.019800000000004,-36.387868,0.0,0.0,-0.0
2019-08-07 17:00:00,43.436561,-63.019800000000004,-0.0,19.583239,0.0,-0.0
2019-08-07 18:00:00,12.834717,-63.019800000000004,-0.0,50.185083,0.0,-0.0
2019-08-07 19:00:00,1.5876966,-63.019800000000004,-0.0,61.432103,0.0,-0.0
2019-08-07 20:00:00,0.0,-64.62540000000001,-0.0,64.6254,0.0,-0.0
2019-08-07 21:00:00,0.0,-64.62540000000001,-0.0,64.6254,0.0,-0.0
2019-08-07 22:00:00,0.0,-64.62540000000001,-0.0,64.6254,0.0,-0.0
2019-08-07 23:00:00,0.0,-67.833,-0.0,67.833,0.0,-0.0
2019-08-08 00:00:00,0.0,-66.2292,-0.0,49.066142,17.163058,-0.0
2019-08-08 01:00:00,0.0,-66.2292,-0.0,44.4492,21.78,-0.0
2019-08-08 02:00:00,0.0,-64.62540000000001,-0.0,42.6204,22.005,-0.0
2019-08-08 03:00:00,0.0,-66.2292,-0.0,44.1792,22.05,-0.0
2019-08-08 04:00:00,1.5876966,-66.2292,-0.0,40.757423,23.884081,-0.0
2019-08-08 05:00:00,13.453028,-66.2292,-0.0,25.728888,27.047284,-0.0
2019-08-08 06:00:00,17.17969,-67.833,-0.0,16.854154,33.799156,-0.0
2019-08-08 07:00:00,17.412628,-66.2292,-0.0,7.5754269,41.241145,-0.0
2019-08-08 08:00:00,32.35397,-64.62540000000001,-0.0,0.0,32.27143,-0.0
2019-08-08 09:00:00,27.451828,-64.62540000000001,-0.0,0.0,37.173572,-0.0
2019-08-08 10:00:00,76.103965,-66.2292,-9.8747649,0.0,0.0,-0.0
2019-08-08 11:00:00,236.40215,-64.62540000000001,-171.77675,0.0,0.0,-0.0
2019-08-08 12:00:00,227.21347,-66.2292,-178.88479,0.0,17.900515,-0.0
2019-08-08 13:00:00,151.55089,-64.62540000000001,-116.66037,0.0,29.734876,-0.0
2019-08-08 14:00:00,100.47731,-64.62540000000001,-69.985944,0.0,34.134034,-0.0
2019-08-08 15:00:00,87.772509,-61.416,-59.901935,0.0,33.545426,-0.0
2019-08-08 16:00:00,63.129432,-64.62540000000001,-34.562769,0.0,36.058736,-0.0
2019-08-08 17:00:00,48.985891,-64.62540000000001,-22.209976,0.0,37.849486,-0.0
2019-08-08 18:00:00,15.686759,-63.019800000000004,-0.0,6.7843613,40.54868,-0.0
2019-08-08 19:00:00,4.7060277,-66.2292,-0.0,24.244068,37.279104,-0.0
2019-08-08 20:00:00,0.0,-66.2292,-0.0,29.8242,36.405,-0.0
2019-08-08 21:00:00,0.0,-66.2292,-0.0,33.5592,32.67,-0.0
2019-08-08 22:00:00,0.0,-64.62540000000001,-0.0,38.5254,26.1,-0.0
2019-08-08 23:00:00,0.0,-66.2292,-0.0,45.9342,20.295,-0.0
2019-08-09 00:00:00,0.0,-66.2292,-0.0,50.5242,15.705,-0.0
2019-08-09 01:00:00,0.0,-64.62540000000001,-0.0,51.6654,12.96,-0.0
2019-08-09 02:00:00,0.0,-64.62540000000001,-0.0,52.6104,12.015,-0.0
2019-08-09 03:00:00,0.0,-64.62540000000001,-0.0,52.1604,12.465,-0.0
2019-08-09 04:00:00,2.3530138,-66.2292,-0.0,51.874134,12.002052,-0.0
2019-08-09 05:00:00,15.050256,-64.62540000000001,-0.0,27.521068,22.054076,-0.0
2019-08-09 06:00:00,64.132425,-75.8538,-0.0,0.0,11.721375,-0.0
2019-08-09 07:00:00,122.35003,-74.25,-0.0,0.0,0.0,-48.100025
2019-08-09 08:00:00,183.99684,-72.6462,-0.0,0.0,0.0,-111.35064
2019-08-09 09:00:00,240.66528,-71.0424,-0.0,0.0,0.0,-169.62288
2019-08-09 10:00:00,282.86392,-71.0424,-160.06278,0.0,0.0,-51.758738
2019-08-09 11:00:00,293.5965,-69.43679999999999,-224.1597,0.0,0.0,-0.0
2019-08-09 12:00:00,276.85537,-101.5236,-175.33177,0.0,0.0,-0.0
2019-08-09 13:00:00,243.4392,-98.31419999999999,-145.125,0.0,0.0,-0.0
2019-08-09 14:00:00,212.74071,-88.6896,-124.05111,0.0,0.0,-0.0
2019-08-09 15:00:00,153.8819,-80.667,-73.214898,0.0,0.0,-0.0
2019-08-09 16:00:00,69.305741,-63.019800000000004,-6.2859408,0.0,0.0,-0.0
2019-08-09 17:00:00,43.669195,-64.62540000000001,-0.0,20.956205,0.0,-0.0
2019-08-09 18:00:00,11.822131,-61.416,-0.0,49.593869,0.0,-0.0
2019-08-09 19:00:00,0.80335863,-54.999,-0.0,54.195641,0.0,-0.0
