,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie,Waermespeicher_in,Waermespeicher_out
2019-01-07 00:00:00,-290.8278,194.0005,96.827303,0.0,-0.0,0.0
2019-01-07 01:00:00,-290.8278,197.57617,93.251627,0.0,-0.0,0.0
2019-01-07 02:00:00,-289.22400000000005,197.69059,91.533405,0.0,-0.0,0.0
2019-01-07 03:00:00,-287.6202,196.13637,91.483832,0.0,-0.0,0.0
2019-01-07 04:00:00,-311.6844,213.18928,98.495124,0.0,-0.0,0.0
2019-01-07 05:00:00,-332.5392,224.0675,108.4717,0.0,-0.0,0.0
2019-01-07 06:00:00,-338.9562,215.98171,122.97449,0.0,-0.0,0.0
2019-01-07 07:00:00,-334.143,201.79717,132.34583,0.0,-0.0,0.0
2019-01-07 08:00:00,-388.6884,239.8206,149.7801,2.3530138,-3.2653116,0.0
2019-01-07 09:00:00,-406.3356,241.10941,150.29376,11.765069,-0.0,3.1673523
2019-01-07 10:00:00,-395.1054,219.73336,143.58217,31.789864,-0.0,0.0
2019-01-07 11:00:00,-361.4166,190.20945,134.97627,36.230883,-0.0,0.0
2019-01-07 12:00:00,-329.3316,173.74436,130.39324,25.193993,-0.0,0.0
2019-01-07 13:00:00,-326.1222,174.3211,129.60894,22.192156,-0.0,0.0
2019-01-07 14:00:00,-330.93539999999996,172.74412,125.20946,32.981821,-0.0,0.0
2019-01-07 15:00:00,-330.93539999999996,185.55111,130.1773,15.206993,-0.0,0.0
2019-01-07 16:00:00,-342.1656,203.19611,138.96949,0.0,-0.0,0.0
2019-01-07 17:00:00,-356.6034,209.0466,147.5568,0.0,-0.0,0.0
2019-01-07 18:00:00,-367.83360000000005,217.84446,149.98914,0.0,-0.0,0.0
2019-01-07 19:00:00,-371.0412,222.94815,148.09305,0.0,-0.0,0.0
2019-01-07 20:00:00,-348.5826,211.48487,137.09773,0.0,-0.0,0.0
2019-01-07 21:00:00,-326.1222,198.89611,127.22609,0.0,-0.0,0.0
2019-01-07 22:00:00,-300.4542,182.51815,117.93605,0.0,-0.0,0.0
2019-01-07 23:00:00,-292.43160000000006,183.19242,109.23918,0.0,-0.0,0.0
2019-01-08 00:00:00,-282.80699999999996,181.46043,101.34657,0.0,-0.0,0.0
2019-01-08 01:00:00,-281.2032,183.92458,97.278616,0.0,-0.0,0.0
2019-01-08 02:00:00,-273.18059999999997,179.11343,94.067173,0.0,-0.0,0.0
2019-01-08 03:00:00,-273.18059999999997,179.11343,94.067173,0.0,-0.0,0.0
2019-01-08 04:00:00,-282.80699999999996,184.86584,97.941162,0.0,-0.0,0.0
2019-01-08 05:00:00,-326.1222,213.69464,112.42756,0.0,-0.0,0.0
2019-01-08 06:00:00,-371.0412,236.04874,134.99246,0.0,-0.0,0.0
2019-01-08 07:00:00,-383.877,234.44922,149.42778,0.0,-1.4156925e-12,0.0
2019-01-08 08:00:00,-387.0846,233.71066,151.02092,2.3530138,-1.3732217e-12,0.0
2019-01-08 09:00:00,-364.62420000000003,207.00685,145.85228,11.765069,-0.0,0.0
2019-01-08 10:00:00,-363.0204,202.76081,145.35716,14.902421,-0.0,0.0
2019-01-08 11:00:00,-354.99960000000004,195.80506,145.07645,14.118083,-0.0,0.0
2019-01-08 12:00:00,-337.3524,183.1023,138.56334,15.686759,-0.0,0.0
2019-01-08 13:00:00,-332.5392,184.99389,137.34891,10.196393,-0.0,0.0
2019-01-08 14:00:00,-332.5392,191.20605,137.41146,3.9216897,-0.0,0.0
2019-01-08 15:00:00,-332.5392,193.29409,138.46078,0.78433795,-0.0,0.0
2019-01-08 16:00:00,-334.143,194.51812,139.62488,0.0,-0.0,0.0
2019-01-08 17:00:00,-332.5392,189.92559,142.61361,0.0,-0.0,0.0
2019-01-08 18:00:00,-332.5392,191.36267,141.17653,0.0,-0.0,0.0
2019-01-08 19:00:00,-369.4374,221.71777,147.71963,0.0,-0.0,0.0
2019-01-08 20:00:00,-351.7902,214.6015,137.1887,0.0,-0.0,0.0
2019-01-08 21:00:00,-334.143,206.54908,127.59392,0.0,-0.0,0.0
2019-01-08 22:00:00,-321.309,199.19238,122.11662,0.0,-0.0,0.0
2019-01-08 23:00:00,-290.8278,183.37802,107.44978,0.0,-0.0,0.0
2019-01-09 00:00:00,-286.01460000000003,186.7824,99.2322,0.0,-0.0,0.0
2019-01-09 01:00:00,-273.18059999999997,180.5437,92.636903,0.0,-0.0,0.0
2019-01-09 02:00:00,-268.3674,178.97857,89.388827,0.0,-0.0,0.0
2019-01-09 03:00:00,-266.7636,177.08381,89.679795,0.0,-0.0,0.0
2019-01-09 04:00:00,-282.80699999999996,187.00614,95.800865,0.0,-0.0,0.0
2019-01-09 05:00:00,-308.475,200.37405,108.10095,0.0,-0.0,0.0
2019-01-09 06:00:00,-324.5184,200.37235,124.14605,0.0,-0.0,0.0
2019-01-09 07:00:00,-356.6034,219.88733,146.05037,0.0,-9.3343048,0.0
2019-01-09 08:00:00,-387.0846,226.22506,151.02092,0.78433795,-0.0,9.0542757
2019-01-09 09:00:00,-371.0412,216.88292,151.02092,3.1373518,-0.0,0.0
2019-01-09 10:00:00,-358.20720000000006,200.82533,149.53849,7.8433795,-0.0,0.0
2019-01-09 11:00:00,-358.20720000000006,198.31605,148.91042,10.980731,-0.0,0.0
2019-01-09 12:00:00,-348.5826,196.29381,146.79843,5.4903656,-0.0,0.0
2019-01-09 13:00:00,-327.726,181.86736,139.58394,6.2747036,-0.0,0.0
2019-01-09 14:00:00,-329.3316,186.7729,138.63701,3.9216897,-0.0,0.0
2019-01-09 15:00:00,-326.1222,186.45624,138.09728,1.5686759,-0.0,0.0
2019-01-09 16:00:00,-326.1222,185.52308,140.59912,0.0,-0.0,0.0
2019-01-09 17:00:00,-327.726,182.80114,144.92486,0.0,-0.0,0.0
2019-01-09 18:00:00,-327.726,184.18237,143.54363,0.0,-0.0,0.0
2019-01-09 19:00:00,-326.1222,187.99506,138.12714,0.0,-0.0,0.0
2019-01-09 20:00:00,-326.1222,194.74696,131.37524,0.0,-0.0,0.0
2019-01-09 21:00:00,-326.1222,200.16632,125.95588,0.0,-0.0,0.0
2019-01-09 22:00:00,-316.4958,198.80314,117.69266,0.0,-0.0,0.0
2019-01-09 23:00:00,-308.475,198.66897,109.80603,0.0,-0.0,0.0
2019-01-10 00:00:00,-286.01460000000003,188.24672,97.767876,0.0,-0.0,0.0
2019-01-10 01:00:00,-268.3674,177.37803,90.989368,0.0,-0.0,0.0
2019-01-10 02:00:00,-258.74280000000005,172.51239,86.230411,0.0,-0.0,0.0
2019-01-10 03:00:00,-257.139,171.87762,85.261378,0.0,-0.0,0.0
2019-01-10 04:00:00,-263.556,176.52941,87.026595,0.0,-0.0,0.0
2019-01-10 05:00:00,-257.139,171.6733,85.465703,0.0,-0.0,0.0
