,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-01 00:00:00,22.68,-22.68,-0.0,0.0,0.0
2019-01-01 01:00:00,20.266689,-20.04,-0.22668902,0.0,0.0
2019-01-01 02:00:00,70.199005,-17.919999999999998,-52.279005,0.0,0.0
2019-01-01 03:00:00,67.796541,-16.119999999999997,-51.676541,0.0,0.0
2019-01-01 04:00:00,67.628714,-15.440000000000001,-52.188714,0.0,0.0
2019-01-01 05:00:00,71.111351,-14.999999999999998,-56.111351,0.0,0.0
2019-01-01 06:00:00,72.845578,-14.999999999999998,-57.845578,0.0,0.0
2019-01-01 07:00:00,79.397016,-17.24,-62.157016,0.0,0.0
2019-01-01 08:00:00,82.703353,-18.64,-64.266805,0.0,0.20345243
2019-01-01 09:00:00,40.885978,-21.8,-23.060843,0.0,3.9748643
2019-01-01 10:00:00,19.576198,-25.92,-0.0,0.0,6.3438017
2019-01-01 11:00:00,46.586687,-30.279999999999998,-20.047624,0.0,3.7409377
2019-01-01 12:00:00,35.839872,-32.760000000000005,-8.203024,0.0,5.1231515
2019-01-01 13:00:00,39.233651,-31.120000000000005,-12.87543,0.0,4.7617795
2019-01-01 14:00:00,64.728633,-29.76,-37.581227,0.0,2.6125945
2019-01-01 15:00:00,95.950724,-30.52,-65.599724,0.0,0.16899988
2019-01-01 16:00:00,104.91455,-34.0,-70.914551,0.0,0.0
2019-01-01 17:00:00,111.39546,-40.272400000000005,-71.123059,0.0,0.0
2019-01-01 18:00:00,107.82547,-39.68,-68.14547,0.0,0.0
2019-01-01 19:00:00,106.53764,-37.519999999999996,-69.017643,0.0,0.0
2019-01-01 20:00:00,102.29981,-31.919999999999995,-70.379805,0.0,0.0
2019-01-01 21:00:00,95.820411,-28.399999999999995,-67.420411,0.0,0.0
2019-01-01 22:00:00,93.315416,-36.0904,-57.225016,0.0,0.0
2019-01-01 23:00:00,86.159524,-30.759999999999998,-55.399524,0.0,0.0
2019-01-02 00:00:00,88.963978,-24.840000000000003,-64.123978,0.0,0.0
2019-01-02 01:00:00,76.604065,-21.8,-54.804065,0.0,0.0
2019-01-02 02:00:00,75.525838,-20.3752,-55.150638,0.0,0.0
2019-01-02 03:00:00,75.497859,-19.880000000000003,-55.617859,0.0,0.0
2019-01-02 04:00:00,79.046011,-21.360000000000003,-57.686011,0.0,0.0
2019-01-02 05:00:00,86.084065,-25.16,-60.924065,0.0,0.0
2019-01-02 06:00:00,97.909059,-31.16,-66.749059,0.0,0.0
2019-01-02 07:00:00,104.29609,-39.599999999999994,-64.696086,0.0,0.0
2019-01-02 08:00:00,109.14817,-47.04,-62.141809,0.0,0.033636833
2019-01-02 09:00:00,110.3329,-51.10959999999999,-59.458761,0.0,0.23545783
2019-01-02 10:00:00,108.58263,-54.4976,-54.656853,0.0,0.57182617
2019-01-02 11:00:00,102.48303,-56.524800000000006,-47.044101,0.0,1.0858712
2019-01-02 12:00:00,98.591226,-55.88640000000001,-44.381031,0.0,1.6762048
2019-01-02 13:00:00,106.56613,-54.8972,-52.637911,0.0,0.96898234
2019-01-02 14:00:00,85.813775,-53.041199999999996,-34.790325,0.0,2.0177499
2019-01-02 15:00:00,102.09346,-52.029599999999995,-50.752619,0.0,0.68876366
