,Strombedarf,BHKW_el,Waermepumpe_el,Strombezug,PV
2019-04-08 00:00:00,-27.76,67.933276,-40.173276,0.0,0.0
2019-04-08 01:00:00,-25.44,65.830832,-40.390832,0.0,0.0
2019-04-08 02:00:00,-26.680000000000003,66.769211,-40.089211,0.0,0.0
2019-04-08 03:00:00,-28.88,72.943222,-44.063222,0.0,0.0
2019-04-08 04:00:00,-34.36000000000001,83.334011,-48.974011,0.0,0.0
2019-04-08 05:00:00,-46.072,91.59643,-45.625341,0.0,0.1009105
2019-04-08 06:00:00,-55.180400000000006,98.413573,-43.502268,0.0,0.26909467
2019-04-08 07:00:00,-61.2692,100.11211,-39.71747,0.0,0.87455766
2019-04-08 08:00:00,-63.8772,94.565229,-31.932592,0.0,1.2445628
2019-04-08 09:00:00,-66.01400000000001,87.696771,-23.129155,0.0,1.4463838
2019-04-08 10:00:00,-67.5632,66.844382,-1.8227684,0.0,2.5415862
2019-04-08 11:00:00,-66.21839999999999,62.466198,-0.0,0.0,3.7522022
2019-04-08 12:00:00,-64.0816,60.032241,-0.0,0.0,4.0493587
2019-04-08 13:00:00,-60.611200000000004,56.873752,-0.0,0.0,3.7374482
2019-04-08 14:00:00,-58.352399999999996,55.930548,-0.0,0.0,2.421852
2019-04-08 15:00:00,-55.199999999999996,52.902515,-0.0,0.0,2.2974854
2019-04-08 16:00:00,-54.106,53.164169,-0.0,0.0,0.94183133
2019-04-08 17:00:00,-54.3992,53.961921,-0.0,0.0,0.43727883
2019-04-08 18:00:00,-54.78040000000001,68.351817,-13.639507,0.0,0.068089381
2019-04-08 19:00:00,-55.8284,82.23693,-26.40853,0.0,0.0
2019-04-08 20:00:00,-51.9672,80.7024,-28.7352,0.0,0.0
2019-04-08 21:00:00,-45.763999999999996,76.008086,-30.244086,0.0,0.0
2019-04-08 22:00:00,-37.8,72.409038,-34.609038,0.0,0.0
2019-04-08 23:00:00,-30.16,66.280649,-36.120649,0.0,0.0
2019-04-09 00:00:00,-25.92,63.418768,-37.498768,0.0,0.0
2019-04-09 01:00:00,-23.919999999999998,56.355416,-32.435416,0.0,0.0
2019-04-09 02:00:00,-25.36,62.301449,-36.941449,0.0,0.0
2019-04-09 03:00:00,-28.439999999999998,66.713643,-38.273643,0.0,0.0
2019-04-09 04:00:00,-34.4,71.223914,-36.823914,0.0,0.0
