,BHKW_el,Strombedarf,Waermepumpe_el,PV
2019-10-13 23:00:00,65.143005,-33.24,-31.903005,0.0
2019-10-14 00:00:00,56.198703,-29.2132,-26.985503,0.0
2019-10-14 01:00:00,56.486443,-27.76,-28.726443,0.0
2019-10-14 02:00:00,60.409341,-28.36,-32.049341,0.0
2019-10-14 03:00:00,65.363719,-31.239999999999995,-34.123719,0.0
2019-10-14 04:00:00,72.544303,-37.519999999999996,-35.024303,0.0
2019-10-14 05:00:00,91.154897,-52.4872,-38.667697,0.0
2019-10-14 06:00:00,103.19568,-65.1896,-38.006076,0.0
2019-10-14 07:00:00,107.07287,-69.9208,-37.399388,0.24731659
2019-10-14 08:00:00,107.63798,-70.6148,-37.240349,0.21716711
2019-10-14 09:00:00,106.28696,-72.6832,-33.940124,0.33636833
2019-10-14 10:00:00,102.2396,-74.4228,-28.354989,0.53818933
2019-10-14 11:00:00,97.212198,-74.0504,-24.069993,0.9081945
2019-10-14 12:00:00,99.698866,-71.86999999999999,-28.333418,0.5045525
2019-10-14 13:00:00,102.51424,-70.2132,-32.704683,0.403642
2019-10-14 14:00:00,103.07353,-69.0188,-34.290188,0.23545783
2019-10-14 15:00:00,99.954439,-65.81360000000001,-34.376296,0.23545783
2019-10-14 16:00:00,102.02372,-65.35119999999999,-36.773427,0.1009105
2019-10-14 17:00:00,106.96238,-68.3336,-38.628778,0.0
2019-10-14 18:00:00,107.72726,-68.88560000000001,-38.841665,0.0
2019-10-14 19:00:00,104.42045,-61.766000000000005,-42.654454,0.0
2019-10-14 20:00:00,94.881946,-54.203599999999994,-40.678346,0.0
2019-10-14 21:00:00,87.106984,-47.5964,-39.510584,0.0
2019-10-14 22:00:00,76.122724,-39.04,-37.082724,0.0
2019-10-14 23:00:00,64.5376,-32.44,-32.0976,0.0
2019-10-15 00:00:00,60.99827,-28.680000000000003,-32.31827,0.0
2019-10-15 01:00:00,58.022962,-27.039999999999996,-30.982962,0.0
2019-10-15 02:00:00,61.477622,-27.48,-33.997622,0.0
2019-10-15 03:00:00,66.566876,-30.08,-36.486876,0.0
2019-10-15 04:00:00,75.090854,-36.76,-38.330854,0.0
2019-10-15 05:00:00,86.945773,-51.9672,-34.978573,0.0
2019-10-15 06:00:00,101.78262,-64.2388,-37.543816,0.0
2019-10-15 07:00:00,105.99234,-69.10839999999999,-36.951218,0.067273667
2019-10-15 08:00:00,106.54865,-70.4636,-36.270048,0.18500166
