,Strombedarf,Strombezug,BHKW_el,PV
2019-08-05 00:00:00,-23.199999999999996,23.2,0.0,0.0
2019-08-05 01:00:00,-21.240000000000002,21.24,0.0,0.0
2019-08-05 02:00:00,-21.1024,21.1024,0.0,0.0
2019-08-05 03:00:00,-23.24,23.24,0.0,0.0
2019-08-05 04:00:00,-28.16,28.024637,0.0,0.13536305
2019-08-05 05:00:00,-39.44,10.692132,27.960013,0.78785531
2019-08-05 06:00:00,-49.79240000000001,46.916218,0.0,2.8761819
2019-08-05 07:00:00,-55.64040000000001,50.591461,0.0,5.0489388
2019-08-05 08:00:00,-57.780800000000006,49.878689,0.0,7.9021111
2019-08-05 09:00:00,-60.802800000000005,50.08154,0.0,10.72126
2019-08-05 10:00:00,-64.50919999999999,52.254882,0.0,12.254318
2019-08-05 11:00:00,-64.1656,51.21004,0.0,12.95556
2019-08-05 12:00:00,-62.4896,50.032836,0.0,12.456764
2019-08-05 13:00:00,-60.6512,49.526383,0.0,11.124817
2019-08-05 14:00:00,-57.98919999999999,49.178693,0.0,8.8105073
2019-08-05 15:00:00,-54.406400000000005,47.073982,0.0,7.332418
2019-08-05 16:00:00,-53.60640000000001,49.355687,0.0,4.2507127
2019-08-05 17:00:00,-52.75880000000001,50.782591,0.0,1.9762093
2019-08-05 18:00:00,-50.5696,49.990432,0.0,0.57916759
2019-08-05 19:00:00,-46.3076,46.240326,0.0,0.067273667
2019-08-05 20:00:00,-45.134,45.134,0.0,0.0
2019-08-05 21:00:00,-40.190400000000004,40.1904,0.0,0.0
2019-08-05 22:00:00,-32.4,32.4,0.0,0.0
2019-08-05 23:00:00,-27.433999999999997,27.434,0.0,0.0
2019-08-06 00:00:00,-24.36,24.36,0.0,0.0
2019-08-06 01:00:00,-22.880000000000003,22.88,0.0,0.0
2019-08-06 02:00:00,-22.400000000000002,22.4,0.0,0.0
2019-08-06 03:00:00,-24.04,24.04,0.0,0.0
2019-08-06 04:00:00,-29.2,29.131911,0.0,0.068089381
2019-08-06 05:00:00,-40.209199999999996,39.602878,0.0,0.60632222
2019-08-06 06:00:00,-50.302,47.20389,0.0,3.09811
2019-08-06 07:00:00,-56.269600000000004,51.009242,0.0,5.2603583
2019-08-06 08:00:00,-59.298,50.831955,0.0,8.4660448
2019-08-06 09:00:00,-62.609199999999994,51.804744,0.0,10.804456
2019-08-06 10:00:00,-65.7476,53.805404,0.0,11.942196
2019-08-06 11:00:00,-64.97,52.410232,0.0,12.559768
2019-08-06 12:00:00,-63.302400000000006,51.39574,0.0,11.90666
2019-08-06 13:00:00,-62.95119999999999,52.074582,0.0,10.876618
2019-08-06 14:00:00,-60.8536,51.943988,0.0,8.909612
2019-08-06 15:00:00,-58.678799999999995,52.093697,0.0,6.585103
2019-08-06 16:00:00,-57.60080000000001,54.022775,0.0,3.5780248
2019-08-06 17:00:00,-56.413199999999996,54.514129,0.0,1.8990714
2019-08-06 18:00:00,-54.5448,54.06328,0.0,0.48151995
2019-08-06 19:00:00,-50.17040000000001,50.103126,0.0,0.067273667
2019-08-06 20:00:00,-48.378,48.378,0.0,0.0
2019-08-06 21:00:00,-42.7772,42.7772,0.0,0.0
2019-08-06 22:00:00,-34.44,34.44,0.0,0.0
2019-08-06 23:00:00,-28.24,28.24,0.0,0.0
2019-08-07 00:00:00,-24.4,24.4,0.0,0.0
2019-08-07 01:00:00,-22.56,22.56,0.0,0.0
2019-08-07 02:00:00,-22.640000000000004,22.64,0.0,0.0
2019-08-07 03:00:00,-23.96,23.96,0.0,0.0
2019-08-07 04:00:00,-29.08,28.978274,0.0,0.10172621
2019-08-07 05:00:00,-39.800000000000004,39.147706,0.0,0.65229352
2019-08-07 06:00:00,-50.612,48.00104,0.0,2.6109605
2019-08-07 07:00:00,-56.668,51.346289,0.0,5.3217113
2019-08-07 08:00:00,-60.1532,52.500109,0.0,7.653091
2019-08-07 09:00:00,-63.942800000000005,53.98761,0.0,9.9551897
2019-08-07 10:00:00,-66.584,55.21819,0.0,11.36581
2019-08-07 11:00:00,-64.8836,52.795331,0.0,12.088269
2019-08-07 12:00:00,-62.96359999999999,51.165968,0.0,11.797632
2019-08-07 13:00:00,-60.650000000000006,49.867724,0.0,10.782276
2019-08-07 14:00:00,-58.0808,49.037398,0.0,9.0434025
2019-08-07 15:00:00,-56.413199999999996,49.60122,0.0,6.81198
2019-08-07 16:00:00,-55.1408,50.877639,0.0,4.2631613
2019-08-07 17:00:00,-52.54599999999999,50.683195,0.0,1.8628046
2019-08-07 18:00:00,-50.332800000000006,49.782375,0.0,0.55042504
2019-08-07 19:00:00,-44.855599999999995,44.787511,0.0,0.068089381
2019-08-07 20:00:00,-42.5764,42.5764,0.0,0.0
2019-08-07 21:00:00,-38.04,38.04,0.0,0.0
2019-08-07 22:00:00,-31.120000000000005,31.12,0.0,0.0
2019-08-07 23:00:00,-25.36,25.36,0.0,0.0
2019-08-08 00:00:00,-21.840000000000003,21.84,0.0,0.0
2019-08-08 01:00:00,-19.36,19.36,0.0,0.0
2019-08-08 02:00:00,-19.56,19.56,0.0,0.0
2019-08-08 03:00:00,-19.599999999999998,19.6,0.0,0.0
2019-08-08 04:00:00,-21.400000000000002,21.331911,0.0,0.068089381
2019-08-08 05:00:00,-25.48,24.903058,0.0,0.57694168
2019-08-08 06:00:00,-31.88,31.143238,0.0,0.73676196
2019-08-08 07:00:00,-38.519999999999996,37.773248,0.0,0.74675165
2019-08-08 08:00:00,-44.6008,43.213279,0.0,1.3875206
2019-08-08 09:00:00,-47.896,46.718711,0.0,1.1772892
2019-08-08 10:00:00,-49.7424,46.478633,0.0,3.2637671
2019-08-08 11:00:00,-48.9236,38.785343,0.0,10.138257
2019-08-08 12:00:00,-45.528,35.783805,0.0,9.7441946
2019-08-08 13:00:00,-42.63,36.130643,0.0,6.4993566
2019-08-08 14:00:00,-41.081199999999995,36.772166,0.0,4.3090335
2019-08-08 15:00:00,-39.199999999999996,35.43582,0.0,3.76418
2019-08-08 16:00:00,-38.8,36.092654,0.0,2.707346
2019-08-08 17:00:00,-38.879999999999995,36.779209,0.0,2.1007912
2019-08-08 18:00:00,-37.71999999999999,37.047263,0.0,0.67273667
2019-08-08 19:00:00,-33.64,33.438179,0.0,0.201821
2019-08-08 20:00:00,-32.36,32.36,0.0,0.0
2019-08-08 21:00:00,-29.040000000000003,29.04,0.0,0.0
2019-08-08 22:00:00,-23.199999999999996,23.2,0.0,0.0
2019-08-08 23:00:00,-18.04,18.04,0.0,0.0
2019-08-09 00:00:00,-13.959999999999997,13.96,0.0,0.0
2019-08-09 01:00:00,-11.520000000000001,11.52,0.0,0.0
2019-08-09 02:00:00,-10.680000000000001,10.68,0.0,0.0
2019-08-09 03:00:00,-11.079999999999998,11.08,0.0,0.0
2019-08-09 04:00:00,-10.920000000000002,10.81909,0.0,0.1009105
2019-08-09 05:00:00,-11.559999999999999,10.91456,0.0,0.64543985
2019-08-09 06:00:00,-16.4,13.64964,0.0,2.7503599
2019-08-09 07:00:00,-22.2512,17.004141,0.0,5.2470589
