,Waermebedarf,Solarthermie,Waermepumpe_th,BHKW_th,Waermespeicher_in,Waermeueberschuss,Waermespeicher_out,Waermebezug
2019-01-01 00:00:00,-282.80699999999996,0.0,0.0,25.515,-0.0,-0.0,257.292,0.0
2019-01-01 01:00:00,-269.973,0.0,0.79341158,22.800025,-0.0,-0.0,246.37956,0.0
2019-01-01 02:00:00,-261.9504,0.0,182.97652,78.973881,-0.0,-0.0,0.0,0.0
2019-01-01 03:00:00,-257.139,0.0,180.86789,76.271108,-0.0,-0.0,0.0,0.0
2019-01-01 04:00:00,-258.74280000000005,0.0,182.6605,76.082303,-0.0,-0.0,0.0,0.0
2019-01-01 05:00:00,-276.39,0.0,196.38973,80.00027,-0.0,-0.0,0.0,0.0
2019-01-01 06:00:00,-284.4108,0.0,202.45952,81.951276,-0.0,-0.0,0.0,0.0
2019-01-01 07:00:00,-306.87120000000004,0.0,217.54956,89.321643,-0.0,-0.0,0.0,0.0
2019-01-01 08:00:00,-329.3316,11.35651,224.93382,93.041272,-0.0,-0.0,0.0,0.0
2019-01-01 09:00:00,-348.5826,221.87292,80.71295,45.996726,-0.0,-0.0,0.0,0.0
2019-01-01 10:00:00,-351.7902,354.10462,0.0,22.023223,-24.337648,-0.0,0.0,0.0
2019-01-01 11:00:00,-354.99960000000004,208.81537,70.166685,52.410022,-0.0,-0.0,23.607518,0.0
2019-01-01 12:00:00,-354.99960000000004,285.96916,28.710584,40.319856,-0.0,-0.0,0.0,0.0
2019-01-01 13:00:00,-354.99960000000004,265.79774,45.064006,44.137857,-0.0,-0.0,0.0,0.0
2019-01-01 14:00:00,-350.1864,145.83239,131.53429,72.819712,-0.0,-0.0,0.0,0.0
2019-01-01 15:00:00,-346.977,9.4334032,229.59903,107.94456,-0.0,-0.0,0.0,0.0
2019-01-01 16:00:00,-366.2298,0.0,248.20093,118.02887,-0.0,-0.0,0.0,0.0
2019-01-01 17:00:00,-374.2506,0.0,248.93071,125.31989,-0.0,-0.0,0.0,0.0
2019-01-01 18:00:00,-359.8128,0.0,238.50915,121.30365,-0.0,-0.0,0.0,0.0
2019-01-01 19:00:00,-361.4166,0.0,241.56175,119.85485,-0.0,-0.0,0.0,0.0
2019-01-01 20:00:00,-361.4166,0.0,246.32932,115.08728,-0.0,-0.0,0.0,0.0
2019-01-01 21:00:00,-343.76939999999996,0.0,235.97144,107.79796,-0.0,-0.0,0.0,0.0
2019-01-01 22:00:00,-305.2674,0.0,200.28756,104.97984,-0.0,-0.0,0.0,0.0
2019-01-01 23:00:00,-290.8278,0.0,193.89834,96.929465,-0.0,-0.0,0.0,0.0
2019-01-02 00:00:00,-324.5184,0.0,224.43392,100.08448,-0.0,-0.0,0.0,0.0
2019-01-02 01:00:00,-277.9938,0.0,191.81423,86.179573,-0.0,-0.0,0.0,0.0
2019-01-02 02:00:00,-277.9938,0.0,193.02723,84.966568,-0.0,-0.0,0.0,0.0
2019-01-02 03:00:00,-279.5976,0.0,194.66251,84.935092,-0.0,-0.0,0.0,0.0
2019-01-02 04:00:00,-290.8278,0.0,201.90104,88.926762,-0.0,-0.0,0.0,0.0
2019-01-02 05:00:00,-310.0788,0.0,213.23423,96.844573,-0.0,-0.0,0.0,0.0
2019-01-02 06:00:00,-343.76939999999996,0.0,233.62171,110.14769,-0.0,-0.0,0.0,0.0
2019-01-02 07:00:00,-343.76939999999996,0.0,226.4363,117.3331,-0.0,-0.0,0.0,0.0
2019-01-02 08:00:00,-342.1656,1.8775742,217.49633,122.79169,-0.0,-0.0,0.0,0.0
2019-01-02 09:00:00,-345.37320000000005,13.143019,208.10566,124.12452,-0.0,-0.0,0.0,0.0
2019-01-02 10:00:00,-345.37320000000005,31.918761,191.29898,122.15545,-0.0,-0.0,0.0,0.0
2019-01-02 11:00:00,-340.56,60.612236,164.65435,115.29341,-0.0,-0.0,0.0,0.0
2019-01-02 12:00:00,-359.8128,93.564062,155.33361,110.91513,-0.0,-0.0,0.0,0.0
2019-01-02 13:00:00,-358.20720000000006,54.087619,184.23269,119.88689,-0.0,-0.0,0.0,0.0
2019-01-02 14:00:00,-330.93539999999996,112.62877,121.76614,96.540496,-0.0,-0.0,0.0,0.0
2019-01-02 15:00:00,-330.93539999999996,38.446094,177.63417,114.85514,-0.0,-0.0,0.0,0.0
2019-01-02 16:00:00,-329.3316,0.0,202.92811,126.40349,-0.0,-0.0,0.0,0.0
2019-01-02 17:00:00,-329.3316,0.0,198.34443,130.98717,-0.0,-0.0,0.0,0.0
2019-01-02 18:00:00,-327.726,0.0,197.4437,130.2823,-0.0,-0.0,0.0,0.0
2019-01-02 19:00:00,-327.726,0.0,201.52236,126.20364,-0.0,-0.0,0.0,0.0
2019-01-02 20:00:00,-327.726,0.0,207.35037,120.37563,-0.0,-0.0,0.0,0.0
