,Waermebedarf,Solarthermie,Waermepumpe_th,BHKW_th,Waermespeicher_in,Waermespeicher_out,Waermeueberschuss
2019-04-08 00:00:00,-217.0314,0.0,140.60646,76.424935,-0.0,0.0,-0.0
2019-04-08 01:00:00,-215.4276,0.0,141.36791,74.059686,-0.0,0.0,-0.0
2019-04-08 02:00:00,-215.4276,0.0,140.31224,75.115362,-0.0,0.0,-0.0
2019-04-08 03:00:00,-236.2824,0.0,154.22128,82.061124,-0.0,0.0,-0.0
2019-04-08 04:00:00,-265.1598,0.0,171.40904,93.750762,-0.0,0.0,-0.0
2019-04-08 05:00:00,-268.3674,5.6327225,159.68869,103.04598,-0.0,0.0,-0.0
2019-04-08 06:00:00,-277.9938,15.020593,152.25794,110.71527,-0.0,0.0,-0.0
2019-04-08 07:00:00,-300.4542,48.816928,139.01115,112.62613,-0.0,0.0,-0.0
2019-04-08 08:00:00,-287.6202,69.470244,111.76407,106.38588,-0.0,0.0,-0.0
2019-04-08 09:00:00,-260.3466,80.735689,80.952043,98.658868,-0.0,0.0,-0.0
2019-04-08 10:00:00,-223.44839999999996,141.86878,6.3796894,75.19993,-0.0,0.0,-0.0
2019-04-08 11:00:00,-210.6144,209.44415,0.0,70.274473,-69.104219,0.0,-0.0
2019-04-08 12:00:00,-197.7804,226.03112,0.0,67.536271,-95.786996,0.0,-0.0
2019-04-08 13:00:00,-188.154,208.62059,0.0,63.982971,-84.449564,0.0,-0.0
2019-04-08 14:00:00,-180.1332,135.18534,0.0,62.921867,-17.974006,0.0,-0.0
2019-04-08 15:00:00,-183.3408,128.24332,0.0,59.515329,-4.4178504,0.0,-0.0
2019-04-08 16:00:00,-184.9464,52.572077,0.0,59.80969,-0.0,72.564634,-0.0
2019-04-08 17:00:00,-183.3408,24.408464,0.0,60.707161,-0.0,98.225175,-0.0
2019-04-08 18:00:00,-192.9672,3.8006807,47.738273,76.895794,-0.0,64.532452,-0.0
2019-04-08 19:00:00,-184.9464,0.0,92.429854,92.516546,-0.0,0.0,-0.0
2019-04-08 20:00:00,-191.36339999999998,0.0,100.5732,90.7902,-0.0,0.0,-0.0
2019-04-08 21:00:00,-191.36339999999998,0.0,105.8543,85.509097,-0.0,0.0,-0.0
