,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie,Waermespeicher_in,Waermespeicher_out
2019-10-13 23:00:00,-184.9464,111.66052,73.285881,0.0,-0.0,0.0
2019-10-14 00:00:00,-157.67280000000002,94.449259,63.223541,0.0,-0.0,0.0
2019-10-14 01:00:00,-164.0898,100.54255,63.547249,0.0,-0.0,0.0
2019-10-14 02:00:00,-180.1332,112.17269,67.960508,0.0,-0.0,0.0
2019-10-14 03:00:00,-192.9672,119.43302,73.534184,0.0,-0.0,0.0
2019-10-14 04:00:00,-204.1974,122.58506,81.612341,0.0,-0.0,0.0
2019-10-14 05:00:00,-237.88619999999997,135.33694,102.54926,0.0,-0.0,0.0
2019-10-14 06:00:00,-249.1164,133.02126,116.09514,0.0,-0.0,0.0
2019-10-14 07:00:00,-265.1598,130.89786,120.45698,13.804963,-0.0,0.0
2019-10-14 08:00:00,-263.556,130.34122,121.09273,12.12205,-0.0,0.0
2019-10-14 09:00:00,-257.139,118.79043,119.57282,18.775742,-0.0,0.0
2019-10-14 10:00:00,-244.30319999999998,99.242463,115.01955,30.041187,-0.0,0.0
2019-10-14 11:00:00,-244.30319999999998,84.244975,109.36372,50.694502,-0.0,0.0
2019-10-14 12:00:00,-239.49179999999998,99.166964,112.16122,28.163612,-0.0,0.0
2019-10-14 13:00:00,-252.3258,114.46639,115.32852,22.53089,-0.0,0.0
2019-10-14 14:00:00,-249.1164,120.01566,115.95772,13.143019,-0.0,0.0
2019-10-14 15:00:00,-245.90879999999999,120.31704,112.44874,13.143019,-0.0,0.0
2019-10-14 16:00:00,-249.1164,128.707,114.77668,5.6327225,-0.0,0.0
2019-10-14 17:00:00,-255.5334,135.20072,120.33268,0.0,-0.0,0.0
2019-10-14 18:00:00,-257.139,135.94583,121.19317,0.0,-0.0,0.0
2019-10-14 19:00:00,-266.7636,149.29059,117.47301,0.0,-0.0,0.0
2019-10-14 20:00:00,-249.1164,142.37421,106.74219,0.0,-0.0,0.0
2019-10-14 21:00:00,-236.2824,138.28704,97.995357,0.0,-0.0,0.0
2019-10-14 22:00:00,-215.4276,129.78954,85.638065,0.0,-0.0,0.0
2019-10-14 23:00:00,-184.9464,112.3416,72.6048,0.0,-0.0,0.0
2019-10-15 00:00:00,-181.73700000000002,113.11395,68.623054,0.0,-0.0,0.0
2019-10-15 01:00:00,-173.7162,108.44037,65.275832,0.0,-0.0,0.0
2019-10-15 02:00:00,-188.154,118.99168,69.162324,0.0,-0.0,0.0
2019-10-15 03:00:00,-202.5918,127.70406,74.887735,0.0,-0.0,0.0
2019-10-15 04:00:00,-218.6352,134.15799,84.477211,0.0,-0.0,0.0
2019-10-15 05:00:00,-220.23899999999998,122.42501,97.813995,0.0,-0.0,0.0
2019-10-15 06:00:00,-245.90879999999999,131.40336,114.50544,0.0,-0.0,0.0
2019-10-15 07:00:00,-252.3258,129.32926,119.24139,3.7551483,-0.0,0.0
2019-10-15 08:00:00,-257.139,126.94517,119.86723,10.326606,-0.0,0.0
2019-10-15 09:00:00,-217.0314,93.429376,111.90987,11.692151,-0.0,0.0
2019-10-15 10:00:00,-223.44839999999996,88.622427,112.29508,22.53089,-0.0,0.0
2019-10-15 11:00:00,-226.65599999999998,91.726795,112.39832,22.53089,-0.0,0.0
2019-10-15 12:00:00,-225.0522,73.631208,104.48164,46.939354,-0.0,0.0
2019-10-15 13:00:00,-226.65599999999998,73.887093,102.0744,50.694502,-0.0,0.0
2019-10-15 14:00:00,-213.822,86.479405,104.8117,22.53089,-0.0,0.0
2019-10-15 15:00:00,-217.0314,101.57865,106.06487,9.3878708,-0.0,0.0
2019-10-15 16:00:00,-220.23899999999998,105.98647,108.61981,5.6327225,-0.0,0.0
2019-10-15 17:00:00,-217.0314,105.4133,111.6181,0.0,-0.0,0.0
2019-10-15 18:00:00,-237.88619999999997,120.72571,117.16049,0.0,-0.0,0.0
2019-10-15 19:00:00,-257.139,141.22318,115.91582,0.0,-0.0,0.0
