,Solarthermie,Waermeueberschuss,Waermebedarf,Waermespeicher_in,Waermespeicher_out,BHKW_th
2019-08-05 00:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-05 01:00:00,0.0,-0.0,-67.833,-0.0,67.833,0.0
2019-08-05 02:00:00,0.0,-0.0,-67.833,-0.0,67.833,0.0
2019-08-05 03:00:00,0.0,-0.0,-71.0424,-0.0,71.0424,0.0
2019-08-05 04:00:00,7.555829,-0.0,-75.8538,-0.0,68.297971,0.0
2019-08-05 05:00:00,43.97729,-0.0,-82.2726,-0.0,6.8402958,31.455014
2019-08-05 06:00:00,160.54558,-78.272979,-82.2726,-0.0,0.0,0.0
2019-08-05 07:00:00,281.82668,-197.95028,-83.8764,-0.0,0.0,0.0
2019-08-05 08:00:00,441.08788,-362.02468,-79.0632,-0.0,0.0,0.0
2019-08-05 09:00:00,598.44996,-522.59616,-75.8538,-0.0,0.0,0.0
2019-08-05 10:00:00,684.02372,-616.19072,-67.833,-0.0,0.0,0.0
2019-08-05 11:00:00,723.16633,-656.93713,-66.2292,-0.0,0.0,0.0
2019-08-05 12:00:00,695.32402,-624.28162,-71.0424,-0.0,0.0,0.0
2019-08-05 13:00:00,620.97609,-521.88224,-69.43679999999999,-29.657045,0.0,0.0
2019-08-05 14:00:00,491.79365,-0.0,-66.2292,-425.56445,0.0,0.0
2019-08-05 15:00:00,409.28819,-0.0,-66.2292,-343.05899,0.0,0.0
2019-08-05 16:00:00,237.2705,-0.0,-67.833,-169.4375,0.0,0.0
2019-08-05 17:00:00,110.31001,-0.0,-67.833,-42.477013,0.0,0.0
2019-08-05 18:00:00,32.328552,-0.0,-67.833,-0.0,35.504448,0.0
2019-08-05 19:00:00,3.7551483,-0.0,-67.833,-0.0,64.077852,0.0
2019-08-05 20:00:00,0.0,-0.0,-69.43679999999999,-0.0,69.4368,0.0
2019-08-05 21:00:00,0.0,-0.0,-67.833,-0.0,67.833,0.0
2019-08-05 22:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-05 23:00:00,0.0,-0.0,-69.43679999999999,-0.0,69.4368,0.0
2019-08-06 00:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-06 01:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-06 02:00:00,0.0,-0.0,-72.6462,-0.0,72.6462,0.0
2019-08-06 03:00:00,0.0,-0.0,-74.25,-0.0,74.25,0.0
2019-08-06 04:00:00,3.8006807,-0.0,-74.25,-0.0,70.449319,0.0
2019-08-06 05:00:00,33.844296,-0.0,-79.0632,-0.0,45.218904,0.0
2019-08-06 06:00:00,172.93338,-95.473978,-77.4594,-0.0,0.0,0.0
2019-08-06 07:00:00,293.6279,-220.9817,-72.6462,-0.0,0.0,0.0
2019-08-06 08:00:00,472.56609,-404.73309,-67.833,-0.0,0.0,0.0
2019-08-06 09:00:00,603.09387,-538.46847,-64.62540000000001,-0.0,0.0,0.0
2019-08-06 10:00:00,666.60137,-601.97597,-64.62540000000001,-0.0,0.0,0.0
2019-08-06 11:00:00,701.07361,-634.84441,-66.2292,-0.0,0.0,0.0
2019-08-06 12:00:00,664.61775,-598.38855,-66.2292,-0.0,0.0,0.0
2019-08-06 13:00:00,607.12189,-535.39755,-63.019800000000004,-8.7045441,0.0,0.0
2019-08-06 14:00:00,497.32557,-0.0,-66.2292,-431.09637,0.0,0.0
2019-08-06 15:00:00,367.57382,-0.0,-63.019800000000004,-304.55402,0.0,0.0
2019-08-06 16:00:00,199.72174,-0.0,-64.62540000000001,-135.09634,0.0,0.0
2019-08-06 17:00:00,106.00425,-0.0,-66.2292,-39.775055,0.0,0.0
2019-08-06 18:00:00,26.877959,-0.0,-64.62540000000001,-0.0,37.747441,0.0
2019-08-06 19:00:00,3.7551483,-0.0,-63.019800000000004,-0.0,59.264652,0.0
2019-08-06 20:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-06 21:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-06 22:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-06 23:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-07 00:00:00,0.0,-0.0,-63.019800000000004,-0.0,63.0198,0.0
2019-08-07 01:00:00,0.0,-0.0,-63.019800000000004,-0.0,63.0198,0.0
2019-08-07 02:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-07 03:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-07 04:00:00,5.6782548,-0.0,-63.019800000000004,-0.0,57.341545,0.0
2019-08-07 05:00:00,36.410368,-0.0,-66.2292,-0.0,29.818832,0.0
2019-08-07 06:00:00,145.74118,-79.511984,-66.2292,-0.0,0.0,0.0
2019-08-07 07:00:00,297.05257,-234.03277,-63.019800000000004,-0.0,0.0,0.0
2019-08-07 08:00:00,427.18784,-364.16804,-63.019800000000004,-0.0,0.0,0.0
2019-08-07 09:00:00,555.68867,-491.06327,-64.62540000000001,-0.0,0.0,0.0
2019-08-07 10:00:00,634.42807,-569.80267,-64.62540000000001,-0.0,0.0,0.0
2019-08-07 11:00:00,674.755,-610.1296,-64.62540000000001,-0.0,0.0,0.0
2019-08-07 12:00:00,658.53195,-593.90655,-64.62540000000001,-0.0,0.0,0.0
2019-08-07 13:00:00,601.85578,-487.87534,-66.2292,-47.751246,0.0,0.0
2019-08-07 14:00:00,504.79362,-0.0,-64.62540000000001,-440.16822,0.0,0.0
2019-08-07 15:00:00,380.23787,-0.0,-64.62540000000001,-315.61247,0.0,0.0
2019-08-07 16:00:00,237.96537,-0.0,-63.019800000000004,-174.94557,0.0,0.0
2019-08-07 17:00:00,103.97988,-0.0,-63.019800000000004,-40.960078,0.0,0.0
2019-08-07 18:00:00,30.724172,-0.0,-63.019800000000004,-0.0,32.295628,0.0
2019-08-07 19:00:00,3.8006807,-0.0,-63.019800000000004,-0.0,59.219119,0.0
2019-08-07 20:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-07 21:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-07 22:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-07 23:00:00,0.0,-0.0,-67.833,-0.0,67.833,0.0
2019-08-08 00:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-08 01:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-08 02:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-08 03:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-08 04:00:00,3.8006807,-0.0,-66.2292,-0.0,62.428519,0.0
2019-08-08 05:00:00,32.204304,-0.0,-66.2292,-0.0,34.024896,0.0
2019-08-08 06:00:00,41.125311,-0.0,-67.833,-0.0,26.707689,0.0
2019-08-08 07:00:00,41.682925,-0.0,-66.2292,-0.0,24.546275,0.0
2019-08-08 08:00:00,77.450004,-12.824604,-64.62540000000001,-0.0,0.0,0.0
2019-08-08 09:00:00,65.715096,-1.0896958,-64.62540000000001,-0.0,0.0,0.0
2019-08-08 10:00:00,182.18019,-115.95099,-66.2292,-0.0,0.0,0.0
2019-08-08 11:00:00,565.9073,-501.2819,-64.62540000000001,-0.0,0.0,0.0
2019-08-08 12:00:00,543.91113,-304.32547,-66.2292,-173.35647,0.0,0.0
2019-08-08 13:00:00,362.78754,-0.0,-64.62540000000001,-298.16214,0.0,0.0
2019-08-08 14:00:00,240.52591,-0.0,-64.62540000000001,-175.90051,0.0,0.0
2019-08-08 15:00:00,210.11274,-0.0,-61.416,-148.69674,0.0,0.0
2019-08-08 16:00:00,151.12133,-0.0,-64.62540000000001,-86.495927,0.0,0.0
2019-08-08 17:00:00,117.26405,-0.0,-64.62540000000001,-52.638648,0.0,0.0
2019-08-08 18:00:00,37.551483,-0.0,-63.019800000000004,-0.0,25.468317,0.0
2019-08-08 19:00:00,11.265445,-0.0,-66.2292,-0.0,54.963755,0.0
2019-08-08 20:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-08 21:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-08 22:00:00,0.0,-0.0,-64.62540000000001,-0.0,64.6254,0.0
2019-08-08 23:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
2019-08-09 00:00:00,0.0,-0.0,-66.2292,-0.0,66.2292,0.0
