Counter;Sol_irradiation [Wh/sqm];P*;Q*
1;0;5.67E-05;0.000157115
2;0;5.01E-05;0.000149985
3;0;4.48E-05;0.000145528
4;0;4.03E-05;0.000142855
5;0;3.86E-05;0.000143746
6;0;3.75E-05;0.00015355
7;0;3.75E-05;0.000158006
8;0;4.31E-05;0.000170484
9;16.10944025;4.66E-05;0.000182962
10;314.731262;5.45E-05;0.000193657
11;502.3046213;6.48E-05;0.000195439
12;296.2088611;7.57E-05;0.000197222
13;405.6530765;8.19E-05;0.000197222
14;377.0395028;7.78E-05;0.000197222
15;206.8662204;7.44E-05;0.000194548
16;13.38147451;7.63E-05;0.000192765
17;0;8.50E-05;0.000203461
18;0;0.000100681;0.000207917
19;0;9.92E-05;0.000199896
20;0;9.38E-05;0.000200787
21;0;7.98E-05;0.000200787
22;0;7.10E-05;0.000190983
23;0;0.000090226;0.000169593
24;0;7.69E-05;0.000161571
25;0;6.21E-05;0.000180288
26;0;5.45E-05;0.000154441
27;0;0.000050938;0.000154441
28;0;4.97E-05;0.000155332
29;0;5.34E-05;0.000161571
30;0;6.29E-05;0.000172266
31;0;7.79E-05;0.000190983
32;0;9.90E-05;0.000190983
33;2.66337719;0.0001176;0.000190092
34;18.64364033;0.000127774;0.000191874
35;45.27741224;0.000136244;0.000191874
36;85.97969104;0.000141312;0.0001892
37;132.7225275;0.000139716;0.000199896
38;76.72438833;0.000137243;0.000199004
39;159.7662005;0.000132603;0.000183853
40;54.53656749;0.000130074;0.000183853
41;0;0.000135948;0.000182962
42;0;0.000149408;0.000182962
43;0;0.000148485;0.00018207
44;0;0.000136508;0.00018207
45;0;0.000119394;0.00018207
46;0;0.000109034;0.000181179
47;0;0.000100268;0.000169593
48;0;7.66E-05;0.000163354
49;0;5.37E-05;0.000158897
50;0;4.35E-05;0.000164245
51;0;3.59E-05;0.000171375
52;0;3.17E-05;0.000166919
53;0;3.29E-05;0.000166027
54;0;3.53E-05;0.000165136
55;0;0.000042125;0.000165136
56;0;5.53E-05;0.000182962
57;10.65350876;6.95E-05;0.000193657
58;42.61403504;8.51E-05;0.000195439
59;69.24780695;9.42E-05;0.000197222
60;63.92105257;0.000105447;0.000223069
61;63.92105257;0.000108489;0.000211482
62;71.91118414;0.000106542;0.000206134
63;50.60416662;0.000100804;0.000194548
64;15.98026314;9.82E-05;0.000197222
65;0;0.000107196;0.000196331
66;0;0.000120866;0.000199896
67;0;0.00012046;0.000204352
68;0;0.000110963;0.000206134
69;0;0.00009284;0.000205243
70;0;8.40E-05;0.000190092
71;0;0.000082103;0.000181179
72;0;7.24E-05;0.000174049
73;0;6.02E-05;0.000174049
74;0;4.25E-05;0.00017494
75;0;3.38E-05;0.000175831
76;0;3.03E-05;0.00016781
77;0;3.09E-05;0.000172266
78;0;2.81E-05;0.00017494
79;0;2.43E-05;0.000186527
80;0;0.000036147;0.000194548
81;13.31688595;4.99E-05;0.000203461
82;52.44138875;6.33E-05;0.000222177
83;207.3642763;0.000077352;0.000214156
84;107.1966742;9.44E-05;0.000202569
85;146.1723759;9.49E-05;0.0001892
86;130.9705252;0.000085407;0.000181179
87;37.28728066;8.01E-05;0.000179396
88;13.31688595;7.98E-05;0.000192765
89;0;8.91E-05;0.000192765
90;0;0.000105484;0.000207026
91;0;0.000108479;0.000210591
92;0;0.000101184;0.000210591
93;0;9.06E-05;0.000202569
94;0;8.45E-05;0.000192765
95;0;8.51E-05;0.000183853
96;0;7.22E-05;0.000173158
97;0;5.57E-05;0.000173158
98;0;4.68E-05;0.000173158
99;0;4.17E-05;0.000163354
100;0;4.14E-05;0.000164245
101;0;4.67E-05;0.000165136
102;0;6.38E-05;0.000179396
103;0;9.14E-05;0.000179396
104;0;0.000118066;0.000194548
105;5.32675438;0.000134629;0.000193657
106;13.31688595;0.000140738;0.000199004
107;21.30701752;0.00014431;0.000198113
108;26.6337719;0.000148555;0.000193657
109;23.97039471;0.000149368;0.000193657
110;15.98026314;0.000146387;0.000194548
111;10.65350876;0.000142522;0.000190983
112;2.66337719;0.000139507;0.000183853
113;0;0.000142532;0.000201678
114;0;0.000159042;0.000201678
115;0;0.000157681;0.000199004
116;0;0.000150296;0.000193657
117;0;0.000131085;0.000193657
118;0;0.000118535;0.0001892
119;0;0.000112408;0.000173158
120;0;0.00009328;0.00015355
121;0;7.85E-05;0.00015355
122;0;6.82E-05;0.000152658
123;0;6.33E-05;0.000151767
124;0;6.36E-05;0.000152658
125;0;6.61E-05;0.000156224
126;0;7.29E-05;0.000184744
127;0;9.22E-05;0.000190983
128;0;0.000115683;0.0002097
129;7.99013157;0.000126099;0.000212373
130;47.94078943;0.000131621;0.000214156
131;74.57456133;0.000138545;0.000210591
132;74.57456133;0.000143265;0.000205243
133;69.24780695;0.000142053;0.000206134
134;66.58442976;0.000137963;0.0002097
135;61.25767538;0.000131924;0.000208808
136;13.31688595;0.000130559;0.000207917
137;0;0.000136437;0.000211482
138;0;0.000154829;0.000214156
139;0;0.000156025;0.000208808
140;0;0.000151454;0.000207917
141;0;0.000134979;0.000190983
142;0;0.000122285;0.000188309
143;0;0.000113399;0.000177614
144;0;9.40E-05;0.000169593
145;0;7.66E-05;0.000161571
146;0;6.61E-05;0.000161571
147;0;6.22E-05;0.00016068
148;0;6.32E-05;0.000159789
149;0;6.66E-05;0.000173158
150;0;8.10E-05;0.000184744
151;0;0.000119004;0.000188309
152;0;0.000149961;0.000185635
153;7.99013157;0.000162173;0.000215938
154;39.95065785;0.000164909;0.000225742
155;107.9488731;0.000170614;0.000219503
156;123.029248;0.000173765;0.000200787
157;85.55126951;0.000172392;0.000182962
158;75.35792592;0.000169435;0.000181179
159;111.9964034;0.000163668;0.000183853
160;51.63840095;0.00016081;0.000183853
161;0;0.000163681;0.000190092
162;0;0.000178585;0.000198113
163;0;0.000177706;0.000204352
164;0;0.000169847;0.000206134
165;0;0.000153601;0.000193657
166;0;0.000140656;0.000181179
167;0;0.00013171;0.000166919
168;0;0.000111902;0.000162462
169;0;9.56E-05;0.000157115
170;0;8.48E-05;0.000156224
171;0;8.11E-05;0.000151767
172;0;8.11E-05;0.000151767
173;0;8.56E-05;0.000157115
174;0;9.72E-05;0.000181179
175;0;0.000131377;0.000206134
176;0;0.000164598;0.000213265
177;7.99013157;0.000178383;0.000215047
178;39.95065785;0.000179398;0.000202569
179;50.60416662;0.000182169;0.000201678
180;47.94078943;0.000186304;0.000197222
181;53.26754381;0.000181323;0.000187418
182;34.62390347;0.000175806;0.000184744
183;13.31688595;0.000169831;0.000184744
184;2.66337719;0.000169833;0.000184744
185;0;0.000171336;0.000185635
186;0;0.000181258;0.000184744
187;0;0.000177038;0.000184744
188;0;0.000169896;0.000205243
189;0;0.000151577;0.000195439
190;0;0.000136007;0.000185635
191;0;0.00012909;0.000178505
192;0;0.000107793;0.000161571
193;0;8.71E-05;0.000158897
194;0;7.69E-05;0.000151767
195;0;7.08E-05;0.000149093
196;0;7.28E-05;0.000148202
197;0;0.000079315;0.000157115
198;0;9.71E-05;0.000171375
199;0;0.000132757;0.000180288
200;0;0.000167494;0.000198113
201;2.66337719;0.000184657;0.000215047
202;10.65350876;0.000187001;0.000206134
203;26.6337719;0.000190957;0.000199004
204;37.28728066;0.000192192;0.000199004
205;18.64364033;0.000187476;0.000193657
206;21.30701752;0.000181958;0.00018207
207;13.31688595;0.000175721;0.000182962
208;5.32675438;0.000174119;0.000181179
209;0;0.000179926;0.000181179
210;0;0.000191483;0.00018207
211;0;0.000187427;0.00018207
212;0;0.000172667;0.000181179
213;0;0.00015284;0.000181179
214;0;0.000136926;0.000181179
215;0;0.000119537;0.000175831
216;0;0.000102107;0.000171375
217;0;8.28E-05;0.000158897
218;0;7.55E-05;0.000149093
219;0;6.84E-05;0.000143746
220;0;6.67E-05;0.000142855
221;0;6.73E-05;0.00014642
222;0;6.73E-05;0.000142855
223;0;7.24E-05;0.000147311
224;0;8.87E-05;0.000147311
225;32.70143297;0.000109038;0.000150876
226;13.31688595;0.000124709;0.000156224
227;26.6337719;0.000131338;0.000169593
228;18.64364033;0.00013909;0.000170484
229;23.97039471;0.00014087;0.000185635
230;55.930921;0.0001332;0.000191874
231;18.64364033;0.000125979;0.000193657
232;2.66337719;0.000118942;0.000190983
233;0;0.000124793;0.0001892
234;0;0.000142277;0.000188309
235;0;0.000143098;0.000190092
236;0;0.000132008;0.000196331
237;0;0.000113533;0.000192765
238;0;0.000103192;0.000180288
239;0;0.00010038;0.000179396
240;0;8.56E-05;0.000157115
241;0;6.81E-05;0.000149985
242;0;5.65E-05;0.000150876
243;0;5.04E-05;0.000166919
244;0;4.81E-05;0.000166919
245;0;4.96E-05;0.000165136
246;0;4.78E-05;0.00016781
247;0;0.000043921;0.000180288
248;0;5.22E-05;0.000188309
249;13.31688595;6.80E-05;0.000190983
250;67.44115998;8.39E-05;0.000190092
251;65.03561551;0.000101089;0.000191874
252;230.873851;0.000115727;0.000191874
253;141.6414455;0.000116919;0.000207917
254;67.08159423;0.00010949;0.000223069
